target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std
1, 1, -130.950799, 45.000000, 0.901432, 6x, 1, 0.100000
2, 1, 110.048703, 112.500000, 0.919908, 1x, 1, 0.100000
3, 1, -66.062991, 112.500000, 0.933528, 2x, 1, 0.100000
4, 1, -76.933829, 90.000000, 0.707278, 6x, 0, 0.100000
4, 2, -63.929908, 90.000000, 0.496733, 6x, 0, 0.100000
4, 3, -83.944096, 90.000000, 0.905336, 6x, 0, 0.100000
5, 1, -45.973877, 135.000000, 0.949709, 1x, 0, 0.100000
6, 1, 38.015343, 45.000000, 0.765048, 2x, 0, 0.100000
6, 2, 30.073664, 45.000000, 0.571460, 2x, 0, 0.100000
6, 3, 55.128572, 45.000000, 0.804039, 2x, 0, 0.100000
6, 4, 61.095869, 45.000000, 0.530926, 2x, 0, 0.100000
6, 5, 51.939353, 45.000000, 0.885757, 2x, 0, 0.100000
7, 1, -38.081286, 157.500000, 0.537345, 2x, 0, 0.100000
7, 2, -51.039109, 157.500000, 0.482315, 2x, 0, 0.100000
7, 3, -29.932180, 157.500000, 0.891654, 2x, 0, 0.100000
8, 1, -18.078922, 67.500000, 0.075181, 1x, 0, 0.100000
8, 2, -72.182576, 67.500000, 0.275722, 1x, 0, 0.100000
8, 3, -50.026255, 67.500000, 0.140778, 1x, 0, 0.100000
8, 4, -89.072523, 67.500000, 0.498644, 1x, 0, 0.100000
8, 5, -82.049902, 67.500000, 0.486259, 1x, 0, 0.100000
8, 6, -102.114561, 67.500000, 0.725665, 1x, 0, 0.100000
8, 7, -113.156346, 67.500000, 0.961491, 1x, 0, 0.100000
9, 1, 13.066966, 22.500000, 0.627980, 6x, 0, 0.100000
9, 2, -0.099183, 22.500000, 0.499795, 6x, 0, 0.100000
9, 3, 23.913908, 22.500000, 0.911688, 6x, 0, 0.100000
10, 1, -40.018807, 22.500000, 0.144079, 1x, 0, 0.100000
10, 2, 33.924529, 22.500000, 0.771808, 1x, 0, 0.100000
10, 3, 41.892652, 22.500000, 0.501337, 1x, 0, 0.100000
10, 4, 14.824217, 22.500000, 0.843593, 1x, 0, 0.100000
10, 5, 12.906824, 22.500000, 0.827623, 1x, 0, 0.100000
10, 6, 9.924943, 22.500000, 0.645188, 1x, 0, 0.100000
10, 7, 12.822072, 22.500000, 0.729580, 1x, 0, 0.100000
10, 8, 17.777941, 22.500000, 0.937746, 1x, 0, 0.100000
11, 1, -38.982217, 112.500000, 0.474626, 6x, 0, 0.100000
11, 2, -56.975628, 112.500000, 0.742710, 6x, 0, 0.100000
11, 3, -64.046436, 112.500000, 0.926069, 6x, 0, 0.100000
12, 1, 39.055520, 67.500000, 0.475412, 2x, 0, 0.100000
12, 2, 89.136921, 67.500000, 0.504496, 2x, 0, 0.100000
12, 3, 60.998866, 67.500000, 0.773856, 2x, 0, 0.100000
12, 4, 65.072127, 67.500000, 0.926582, 2x, 0, 0.100000
13, 1, -50.106961, 90.000000, 0.268485, 2x, 0, 0.100000
13, 2, -2.114031, 90.000000, 0.073100, 2x, 0, 0.100000
13, 3, -89.178250, 90.000000, 0.986383, 2x, 0, 0.100000
14, 1, 0.000000, 67.500000, 0.127021, 6x, 0, 0.100000
14, 2, 37.975273, 67.500000, 0.444898, 6x, 0, 0.100000
14, 3, 62.012720, 67.500000, 0.821795, 6x, 0, 0.100000
14, 4, 66.971157, 67.500000, 0.956906, 6x, 0, 0.100000
15, 1, 45.115186, 90.000000, 0.254245, 1x, 0, 0.100000
15, 2, 90.304343, 90.000000, 0.989873, 1x, 0, 0.100000
16, 1, 41.066427, 157.500000, 0.137436, 6x, 0, 0.100000
16, 2, -17.904161, 157.500000, 0.860545, 6x, 0, 0.100000
17, 1, 46.019047, 22.500000, 0.498845, 2x, 0, 0.100000
17, 2, 15.966900, 22.500000, 0.919840, 2x, 0, 0.100000
18, 1, 44.886657, 45.000000, 0.970306, 1x, 0, 0.100000
19, 1, 45.072204, 135.000000, 0.071790, 6x, 0, 0.100000
19, 2, -40.051019, 135.000000, 0.943432, 6x, 0, 0.100000
20, 1, 49.034221, 157.500000, 0.129132, 1x, 0, 0.100000
20, 2, 91.255335, 157.500000, 0.137449, 1x, 0, 0.100000
20, 3, 16.209115, 157.500000, 0.318835, 1x, 0, 0.100000
20, 4, -22.912532, 157.500000, 0.969671, 1x, 0, 0.100000
21, 1, 0.000000, 135.000000, 0.255452, 2x, 0, 0.100000
21, 2, 39.969020, 135.000000, 0.079608, 2x, 0, 0.100000
21, 3, -39.270152, 135.000000, 0.910742, 2x, 0, 0.100000
22, 1, -35.922419, 157.500000, 0.598936, 2x, 0, 0.100000
22, 2, -21.829278, 157.500000, 0.974662, 2x, 0, 0.100000
23, 1, 45.105649, 157.500000, 0.133447, 6x, 0, 0.100000
23, 2, -36.052481, 157.500000, 0.591194, 6x, 0, 0.100000
23, 3, -20.968274, 157.500000, 0.955612, 6x, 0, 0.100000
24, 1, 27.871728, 135.000000, 0.131101, 1x, 0, 0.100000
24, 2, -16.928780, 135.000000, 0.471030, 1x, 0, 0.100000
24, 3, -33.912459, 135.000000, 0.734653, 1x, 0, 0.100000
24, 4, -39.833931, 135.000000, 0.960508, 1x, 0, 0.100000
25, 1, -37.117483, 90.000000, 0.241031, 6x, 0, 0.100000
25, 2, -0.019190, 90.000000, 0.067410, 6x, 0, 0.100000
25, 3, -89.175416, 90.000000, 0.959591, 6x, 0, 0.100000
26, 1, 42.228079, 112.500000, 0.132594, 2x, 0, 0.100000
26, 2, 91.221926, 112.500000, 0.504368, 2x, 0, 0.100000
26, 3, 118.098091, 112.500000, 0.889424, 2x, 0, 0.100000
27, 1, -40.107394, 67.500000, 0.125758, 1x, 0, 0.100000
27, 2, 1.037195, 67.500000, 0.131562, 1x, 0, 0.100000
27, 3, 47.132650, 67.500000, 0.514559, 1x, 0, 0.100000
27, 4, 67.092271, 67.500000, 0.931622, 1x, 0, 0.100000
28, 1, 42.058067, 22.500000, 0.517821, 2x, 0, 0.100000
28, 2, 23.049666, 22.500000, 0.954642, 2x, 0, 0.100000
29, 1, 41.033413, 112.500000, 0.131102, 6x, 0, 0.100000
29, 2, 91.103928, 112.500000, 0.498240, 6x, 0, 0.100000
29, 3, 115.163799, 112.500000, 0.959556, 6x, 0, 0.100000
30, 1, -45.107738, 157.500000, 0.501809, 1x, 0, 0.100000
30, 2, -17.143114, 157.500000, 0.916781, 1x, 0, 0.100000
31, 1, 44.961880, 45.000000, 0.961329, 2x, 0, 0.100000
32, 1, 45.170848, 135.000000, 0.065659, 6x, 0, 0.100000
32, 2, 122.201622, 135.000000, 0.668040, 6x, 0, 0.100000
32, 3, 136.173659, 135.000000, 0.974813, 6x, 0, 0.100000
33, 1, 42.111640, 90.000000, 0.258405, 1x, 0, 0.100000
33, 2, 1.148643, 90.000000, 0.069201, 1x, 0, 0.100000
33, 3, 91.408863, 90.000000, 0.951065, 1x, 0, 0.100000
34, 1, 40.026271, 67.500000, 0.481955, 6x, 0, 0.100000
34, 2, 40.026271, 67.500000, 0.488080, 6x, 0, 0.100000
34, 3, 23.859748, 67.500000, 0.253428, 6x, 0, 0.100000
34, 4, 57.811322, 67.500000, 0.663375, 6x, 0, 0.100000
34, 5, 63.828412, 67.500000, 0.897440, 6x, 0, 0.100000
35, 1, 37.051786, 135.000000, 0.109030, 2x, 0, 0.100000
35, 2, -23.304477, 135.000000, 0.510371, 2x, 0, 0.100000
35, 3, -40.438361, 135.000000, 0.936062, 2x, 0, 0.100000
36, 1, -44.079673, 45.000000, 0.065662, 1x, 0, 0.100000
36, 2, 48.171906, 45.000000, 0.918981, 1x, 0, 0.100000
37, 1, 43.040110, 90.000000, 0.252050, 2x, 0, 0.100000
37, 2, 84.082384, 90.000000, 0.819233, 2x, 0, 0.100000
37, 3, 89.157283, 90.000000, 0.978502, 2x, 0, 0.100000
38, 1, 41.100037, 22.500000, 0.507028, 1x, 0, 0.100000
38, 2, 62.141644, 22.500000, 0.299607, 1x, 0, 0.100000
38, 3, 18.197260, 22.500000, 0.942291, 1x, 0, 0.100000
39, 1, 36.116806, 45.000000, 0.878473, 6x, 0, 0.100000
40, 1, 91.210118, 67.500000, 0.502921, 2x, 0, 0.100000
40, 2, 115.133944, 67.500000, 0.253717, 2x, 0, 0.100000
40, 3, 75.035977, 67.500000, 0.857366, 2x, 0, 0.100000
41, 1, 38.889460, 112.500000, 0.127741, 1x, 0, 0.100000
41, 2, -14.301176, 112.500000, 0.219554, 1x, 0, 0.100000
41, 3, 16.687289, 112.500000, 0.077943, 1x, 0, 0.100000
41, 4, -121.478634, 112.500000, 0.211167, 1x, 0, 0.100000
41, 5, -93.514672, 112.500000, 0.504561, 1x, 0, 0.100000
41, 6, -73.477992, 112.500000, 0.812319, 1x, 0, 0.100000
41, 7, -70.477618, 112.500000, 0.959926, 1x, 0, 0.100000
42, 1, 41.039858, 22.500000, 0.508320, 6x, 0, 0.100000
42, 2, 101.169729, 22.500000, 0.124040, 6x, 0, 0.100000
42, 3, 17.076376, 22.500000, 0.869602, 6x, 0, 0.100000
