target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std
1, 1, -21.245084, 157.500000, 0.944865, 1x, 1, 0.100000
2, 1, 68.009569, 67.500000, 0.966912, 6x, 1, 0.100000
3, 1, 90.111291, 90.000000, 0.977415, 2x, 1, 0.100000
4, 1, -2.213961, 45.000000, 0.249803, 1x, 0, 0.100000
4, 2, -43.385310, 45.000000, 0.068283, 1x, 0, 0.100000
4, 3, -128.592100, 45.000000, 0.895530, 1x, 0, 0.100000
5, 1, -2.125070, 22.500000, 0.506436, 6x, 0, 0.100000
5, 2, -25.211715, 22.500000, 0.255794, 6x, 0, 0.100000
5, 3, 22.775859, 22.500000, 0.947095, 6x, 0, 0.100000
6, 1, 0.000000, 157.500000, 0.501708, 2x, 0, 0.100000
6, 2, 21.033717, 157.500000, 0.271920, 2x, 0, 0.100000
6, 3, -32.075471, 157.500000, 0.727417, 2x, 0, 0.100000
6, 4, -24.906246, 157.500000, 0.920054, 2x, 0, 0.100000
7, 1, 0.000000, 135.000000, 0.253103, 1x, 0, 0.100000
7, 2, 18.882235, 135.000000, 0.140609, 1x, 0, 0.100000
7, 3, -31.540514, 135.000000, 0.689523, 1x, 0, 0.100000
7, 4, -39.577676, 135.000000, 0.859679, 1x, 0, 0.100000
8, 1, 25.941148, 22.500000, 0.940509, 2x, 0, 0.100000
9, 1, 19.054016, 90.000000, 0.122181, 6x, 0, 0.100000
9, 2, -40.995972, 90.000000, 0.248511, 6x, 0, 0.100000
9, 3, -14.022078, 90.000000, 0.128200, 6x, 0, 0.100000
9, 4, -85.990729, 90.000000, 0.953288, 6x, 0, 0.100000
10, 1, -18.955078, 67.500000, 0.071544, 2x, 0, 0.100000
10, 2, 30.192141, 67.500000, 0.321472, 2x, 0, 0.100000
10, 3, 56.211605, 67.500000, 0.688783, 2x, 0, 0.100000
10, 4, 70.992832, 67.500000, 0.908735, 2x, 0, 0.100000
11, 1, 18.015395, 45.000000, 0.480028, 6x, 0, 0.100000
11, 2, 4.975804, 45.000000, 0.283615, 6x, 0, 0.100000
11, 3, 60.013050, 45.000000, 0.624572, 6x, 0, 0.100000
11, 4, 76.170451, 45.000000, 0.424465, 6x, 0, 0.100000
11, 5, 26.115945, 45.000000, 0.506579, 6x, 0, 0.100000
11, 6, 34.077850, 45.000000, 0.777783, 6x, 0, 0.100000
11, 7, 36.087535, 45.000000, 0.707889, 6x, 0, 0.100000
11, 8, 29.114381, 45.000000, 0.520106, 6x, 0, 0.100000
11, 9, 35.084301, 45.000000, 0.899067, 6x, 0, 0.100000
12, 1, 0.000000, 112.500000, 0.127887, 1x, 0, 0.100000
12, 2, 55.179964, 112.500000, 0.178521, 1x, 0, 0.100000
12, 3, 125.404163, 112.500000, 0.559229, 1x, 0, 0.100000
12, 4, 114.298128, 112.500000, 0.953809, 1x, 0, 0.100000
13, 1, 0.000000, 135.000000, 0.252683, 2x, 0, 0.100000
13, 2, 19.959430, 135.000000, 0.134767, 2x, 0, 0.100000
13, 3, -45.148040, 135.000000, 0.973813, 2x, 0, 0.100000
14, 1, 0.000000, 90.000000, 0.065928, 1x, 0, 0.100000
14, 2, 100.156631, 90.000000, 0.840185, 1x, 0, 0.100000
14, 3, 100.156631, 90.000000, 0.649895, 1x, 0, 0.100000
14, 4, 92.032143, 90.000000, 0.976999, 1x, 0, 0.100000
15, 1, 0.000000, 135.000000, 0.253196, 6x, 0, 0.100000
15, 2, -45.987335, 135.000000, 0.951347, 6x, 0, 0.100000
16, 1, -86.977151, 112.500000, 0.512001, 6x, 0, 0.100000
16, 2, -98.168926, 112.500000, 0.474636, 6x, 0, 0.100000
16, 3, -89.013940, 112.500000, 0.503316, 6x, 0, 0.100000
16, 4, -69.020983, 112.500000, 0.976264, 6x, 0, 0.100000
17, 1, 0.000000, 22.500000, 0.495085, 1x, 0, 0.100000
17, 2, 28.010701, 22.500000, 0.798626, 1x, 0, 0.100000
17, 3, 32.028770, 22.500000, 0.703685, 1x, 0, 0.100000
17, 4, 25.063871, 22.500000, 0.953450, 1x, 0, 0.100000
18, 1, 0.000000, 45.000000, 0.253070, 2x, 0, 0.100000
18, 2, 29.167763, 45.000000, 0.576471, 2x, 0, 0.100000
18, 3, 39.212680, 45.000000, 0.869246, 2x, 0, 0.100000
19, 1, 89.191120, 112.500000, 0.485586, 2x, 0, 0.100000
19, 2, 75.123675, 112.500000, 0.376530, 2x, 0, 0.100000
19, 3, 106.118423, 112.500000, 0.910293, 2x, 0, 0.100000
20, 1, 0.000000, 157.500000, 0.503788, 6x, 0, 0.100000
20, 2, 26.896275, 157.500000, 0.245317, 6x, 0, 0.100000
20, 3, -31.225844, 157.500000, 0.657452, 6x, 0, 0.100000
20, 4, -35.262442, 157.500000, 0.628061, 6x, 0, 0.100000
20, 5, -49.294029, 157.500000, 0.499880, 6x, 0, 0.100000
20, 6, -23.306159, 157.500000, 0.969791, 6x, 0, 0.100000
21, 1, 19.963397, 67.500000, 0.258900, 1x, 0, 0.100000
21, 2, -33.028074, 67.500000, 0.096079, 1x, 0, 0.100000
21, 3, 12.102459, 67.500000, 0.208009, 1x, 0, 0.100000
21, 4, 107.195119, 67.500000, 0.286508, 1x, 0, 0.100000
21, 5, 156.312835, 67.500000, 0.065959, 1x, 0, 0.100000
21, 6, 208.307766, 67.500000, 0.273810, 1x, 0, 0.100000
21, 7, 244.181684, 67.500000, 0.894066, 1x, 0, 0.100000
22, 1, 8.070593, 45.000000, 0.319681, 6x, 0, 0.100000
22, 2, -14.982693, 45.000000, 0.166387, 6x, 0, 0.100000
22, 3, -101.092588, 45.000000, 0.357973, 6x, 0, 0.100000
22, 4, -117.051317, 45.000000, 0.550550, 6x, 0, 0.100000
22, 5, -134.114727, 45.000000, 0.958234, 6x, 0, 0.100000
23, 1, 0.000000, 22.500000, 0.507983, 1x, 0, 0.100000
23, 2, -19.836843, 22.500000, 0.251732, 1x, 0, 0.100000
23, 3, 23.988856, 22.500000, 0.956071, 1x, 0, 0.100000
24, 1, 0.000000, 67.500000, 0.128564, 2x, 0, 0.100000
24, 2, -53.979418, 67.500000, 0.192372, 2x, 0, 0.100000
24, 3, -123.070445, 67.500000, 0.666838, 2x, 0, 0.100000
24, 4, -119.077303, 67.500000, 0.810785, 2x, 0, 0.100000
24, 5, -115.071638, 67.500000, 0.964262, 2x, 0, 0.100000
25, 1, 89.222199, 22.500000, 0.125643, 2x, 0, 0.100000
25, 2, 35.016235, 22.500000, 0.566076, 2x, 0, 0.100000
25, 3, 27.072157, 22.500000, 0.850794, 2x, 0, 0.100000
26, 1, 0.000000, 45.000000, 0.252066, 1x, 0, 0.100000
26, 2, 0.000000, 45.000000, 0.260317, 1x, 0, 0.100000
26, 3, 28.019955, 45.000000, 0.578511, 1x, 0, 0.100000
26, 4, 25.204534, 45.000000, 0.509864, 1x, 0, 0.100000
26, 5, 43.249436, 45.000000, 0.955067, 1x, 0, 0.100000
27, 1, 0.000000, 112.500000, 0.127525, 6x, 0, 0.100000
27, 2, 26.036211, 112.500000, 0.072051, 6x, 0, 0.100000
27, 3, -23.886915, 112.500000, 0.254337, 6x, 0, 0.100000
27, 4, -55.893589, 112.500000, 0.692697, 6x, 0, 0.100000
27, 5, -68.959040, 112.500000, 0.957143, 6x, 0, 0.100000
28, 1, 0.000000, 90.000000, 0.066690, 2x, 0, 0.100000
28, 2, 47.137673, 90.000000, 0.264242, 2x, 0, 0.100000
28, 3, 122.144135, 90.000000, 0.364431, 2x, 0, 0.100000
28, 4, 95.043706, 90.000000, 0.946996, 2x, 0, 0.100000
29, 1, 0.000000, 67.500000, 0.127770, 1x, 0, 0.100000
29, 2, 51.083470, 67.500000, 0.514544, 1x, 0, 0.100000
29, 3, 71.085528, 67.500000, 0.899331, 1x, 0, 0.100000
30, 1, 0.000000, 157.500000, 0.506443, 6x, 0, 0.100000
30, 2, 20.959795, 157.500000, 0.253506, 6x, 0, 0.100000
30, 3, -34.927376, 157.500000, 0.681722, 6x, 0, 0.100000
30, 4, -40.997528, 157.500000, 0.509925, 6x, 0, 0.100000
30, 5, -23.934116, 157.500000, 0.925709, 6x, 0, 0.100000
31, 1, -86.328218, 22.500000, 0.127808, 6x, 0, 0.100000
31, 2, -43.224025, 22.500000, 0.128288, 6x, 0, 0.100000
31, 3, -139.401912, 22.500000, 0.560218, 6x, 0, 0.100000
31, 4, -137.551333, 22.500000, 0.504364, 6x, 0, 0.100000
31, 5, -150.595806, 22.500000, 0.796219, 6x, 0, 0.100000
31, 6, -154.633235, 22.500000, 0.954818, 6x, 0, 0.100000
32, 1, 0.000000, 135.000000, 0.253934, 1x, 0, 0.100000
32, 2, 13.003821, 135.000000, 0.175935, 1x, 0, 0.100000
32, 3, -32.971302, 135.000000, 0.713719, 1x, 0, 0.100000
32, 4, -38.928414, 135.000000, 0.912258, 1x, 0, 0.100000
33, 1, 0.000000, 112.500000, 0.130256, 2x, 0, 0.100000
33, 2, 32.903907, 112.500000, 0.101232, 2x, 0, 0.100000
33, 3, -35.000693, 112.500000, 0.386278, 2x, 0, 0.100000
33, 4, -46.078505, 112.500000, 0.501820, 2x, 0, 0.100000
33, 5, -59.141688, 112.500000, 0.685431, 2x, 0, 0.100000
33, 6, -65.021817, 112.500000, 0.920720, 2x, 0, 0.100000
34, 1, 8.083382, 157.500000, 0.474373, 2x, 0, 0.100000
34, 2, 23.923478, 157.500000, 0.258396, 2x, 0, 0.100000
34, 3, 10.861579, 157.500000, 0.404872, 2x, 0, 0.100000
34, 4, -14.167336, 157.500000, 0.875643, 2x, 0, 0.100000
35, 1, 0.000000, 67.500000, 0.127153, 6x, 0, 0.100000
35, 2, 48.084528, 67.500000, 0.513257, 6x, 0, 0.100000
35, 3, 66.026208, 67.500000, 0.956772, 6x, 0, 0.100000
