target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std
1, 1, 0.000000, 90.000000, 0.069801, 2x, 1, 0.100000
1, 2, 92.946932, 90.000000, 0.945911, 2x, 1, 0.100000
2, 1, 65.958381, 67.500000, 0.953570, 6x, 1, 0.100000
3, 1, 88.883747, 90.000000, 0.983999, 1x, 1, 0.100000
4, 1, 30.138557, 22.500000, 0.779867, 6x, 0, 0.100000
4, 2, 45.150551, 22.500000, 0.506063, 6x, 0, 0.100000
4, 3, 21.072855, 22.500000, 0.925720, 6x, 0, 0.100000
5, 1, 124.052169, 157.500000, 0.328538, 2x, 0, 0.100000
5, 2, 202.191417, 157.500000, 0.254592, 2x, 0, 0.100000
5, 3, 260.325788, 157.500000, 0.118022, 2x, 0, 0.100000
5, 4, 298.294757, 157.500000, 0.313378, 2x, 0, 0.100000
5, 5, 258.360710, 157.500000, 0.125995, 2x, 0, 0.100000
5, 6, 359.481681, 157.500000, 0.528552, 2x, 0, 0.100000
5, 7, 378.407033, 157.500000, 0.271364, 2x, 0, 0.100000
5, 8, 333.324138, 157.500000, 0.875135, 2x, 0, 0.100000
6, 1, 100.174104, 67.500000, 0.379599, 1x, 0, 0.100000
6, 2, 135.185411, 67.500000, 0.127191, 1x, 0, 0.100000
6, 3, 47.012077, 67.500000, 0.516625, 1x, 0, 0.100000
6, 4, 21.041930, 67.500000, 0.252732, 1x, 0, 0.100000
6, 5, 60.019440, 67.500000, 0.789688, 1x, 0, 0.100000
6, 6, 72.107019, 67.500000, 0.885695, 1x, 0, 0.100000
7, 1, 12.019305, 67.500000, 0.194790, 2x, 0, 0.100000
7, 2, 83.391202, 67.500000, 0.566747, 2x, 0, 0.100000
7, 3, 114.404617, 67.500000, 0.253258, 2x, 0, 0.100000
7, 4, 57.356311, 67.500000, 0.756797, 2x, 0, 0.100000
7, 5, 43.509230, 67.500000, 0.493615, 2x, 0, 0.100000
7, 6, 66.564804, 67.500000, 0.947750, 2x, 0, 0.100000
8, 1, 90.127835, 135.000000, 0.251644, 6x, 0, 0.100000
8, 2, 136.127588, 135.000000, 0.961067, 6x, 0, 0.100000
9, 1, 92.101840, 157.500000, 0.130991, 1x, 0, 0.100000
9, 2, 181.204894, 157.500000, 0.512852, 1x, 0, 0.100000
9, 3, 209.288486, 157.500000, 0.240585, 1x, 0, 0.100000
9, 4, 139.164537, 157.500000, 0.514282, 1x, 0, 0.100000
9, 5, 157.051006, 157.500000, 0.980765, 1x, 0, 0.100000
10, 1, 57.115244, 45.000000, 0.721197, 6x, 0, 0.100000
10, 2, 66.124618, 45.000000, 0.498167, 6x, 0, 0.100000
10, 3, 35.291208, 45.000000, 0.809678, 6x, 0, 0.100000
10, 4, 31.149917, 45.000000, 0.635937, 6x, 0, 0.100000
10, 5, 42.044753, 45.000000, 0.952205, 6x, 0, 0.100000
11, 1, -90.145091, 135.000000, 0.261231, 2x, 0, 0.100000
11, 2, -14.062709, 135.000000, 0.393828, 2x, 0, 0.100000
11, 3, 25.812718, 135.000000, 0.129554, 2x, 0, 0.100000
11, 4, -54.308244, 135.000000, 0.859914, 2x, 0, 0.100000
