target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std
1, 1, 0.000000, 67.500000, 0.127728, 1x, 1, 0.100000
1, 2, -61.071353, 67.500000, 0.242734, 1x, 1, 0.100000
1, 3, -109.259253, 67.500000, 0.924145, 1x, 1, 0.100000
2, 1, -124.052149, 22.500000, 0.334342, 2x, 1, 0.100000
2, 2, -159.349253, 22.500000, 0.951003, 2x, 1, 0.100000
3, 1, -25.029691, 157.500000, 0.976621, 6x, 1, 0.100000
4, 1, -26.790637, 90.000000, 0.144257, 1x, 0, 0.100000
4, 2, -145.948182, 90.000000, 0.227747, 1x, 0, 0.100000
4, 3, -180.026768, 90.000000, 0.069927, 1x, 0, 0.100000
4, 4, -85.976696, 90.000000, 0.914746, 1x, 0, 0.100000
5, 1, -33.990038, 135.000000, 0.704535, 6x, 0, 0.100000
5, 2, -19.904724, 135.000000, 0.502449, 6x, 0, 0.100000
5, 3, -68.656442, 135.000000, 0.505153, 6x, 0, 0.100000
5, 4, -58.711613, 135.000000, 0.578912, 6x, 0, 0.100000
5, 5, -41.649371, 135.000000, 0.942163, 6x, 0, 0.100000
6, 1, -135.074682, 90.000000, 0.254081, 2x, 0, 0.100000
6, 2, -170.044122, 90.000000, 0.103781, 2x, 0, 0.100000
6, 3, -101.995321, 90.000000, 0.713039, 2x, 0, 0.100000
6, 4, -81.900978, 90.000000, 0.883694, 2x, 0, 0.100000
7, 1, 49.966975, 45.000000, 0.947417, 6x, 0, 0.100000
8, 1, 29.250135, 112.500000, 0.077783, 1x, 0, 0.100000
8, 2, -57.808805, 112.500000, 0.744643, 1x, 0, 0.100000
8, 3, -43.871742, 112.500000, 0.499011, 1x, 0, 0.100000
8, 4, -79.817611, 112.500000, 0.553895, 1x, 0, 0.100000
8, 5, -69.823939, 112.500000, 0.934114, 1x, 0, 0.100000
9, 1, -12.800878, 112.500000, 0.201214, 2x, 0, 0.100000
9, 2, -145.993982, 112.500000, 0.104386, 2x, 0, 0.100000
9, 3, -186.033714, 112.500000, 0.146003, 2x, 0, 0.100000
9, 4, -133.018356, 112.500000, 0.135550, 2x, 0, 0.100000
9, 5, -95.018805, 112.500000, 0.504802, 2x, 0, 0.100000
9, 6, -54.007142, 112.500000, 0.620399, 2x, 0, 0.100000
9, 7, -40.872589, 112.500000, 0.493335, 2x, 0, 0.100000
9, 8, -53.893453, 112.500000, 0.580719, 2x, 0, 0.100000
9, 9, -63.920843, 112.500000, 0.952974, 2x, 0, 0.100000
10, 1, 15.317432, 45.000000, 0.477310, 1x, 0, 0.100000
