target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std
1, 1, 88.197829, 90.000000, 0.943555, 1x, 1, 0.100000
2, 1, 46.123887, 45.000000, 0.961422, 6x, 1, 0.100000
3, 1, 89.818416, 90.000000, 0.981555, 2x, 1, 0.100000
4, 1, 0.000000, 45.000000, 0.252331, 1x, 0, 0.100000
4, 2, 77.152458, 45.000000, 0.413832, 1x, 0, 0.100000
4, 3, 146.227834, 45.000000, 0.106861, 1x, 0, 0.100000
4, 4, 109.128747, 45.000000, 0.144262, 1x, 0, 0.100000
4, 5, 88.128568, 45.000000, 0.255438, 1x, 0, 0.100000
4, 6, 78.976098, 45.000000, 0.378427, 1x, 0, 0.100000
4, 7, 66.805203, 45.000000, 0.515771, 1x, 0, 0.100000
4, 8, 51.830027, 45.000000, 0.858763, 1x, 0, 0.100000
5, 1, 15.934689, 67.500000, 0.248534, 6x, 0, 0.100000
5, 2, 36.637391, 67.500000, 0.383760, 6x, 0, 0.100000
5, 3, 61.695296, 67.500000, 0.852549, 6x, 0, 0.100000
6, 1, 25.126596, 22.500000, 0.918676, 2x, 0, 0.100000
7, 1, -44.080040, 135.000000, 0.965566, 2x, 0, 0.100000
8, 1, 31.897055, 157.500000, 0.221386, 6x, 0, 0.100000
8, 2, 65.922536, 157.500000, 0.079359, 6x, 0, 0.100000
8, 3, 52.781664, 157.500000, 0.128792, 6x, 0, 0.100000
8, 4, -37.471794, 157.500000, 0.560844, 6x, 0, 0.100000
8, 5, -49.583932, 157.500000, 0.486466, 6x, 0, 0.100000
8, 6, -41.601401, 157.500000, 0.513867, 6x, 0, 0.100000
8, 7, -54.361694, 157.500000, 0.453178, 6x, 0, 0.100000
8, 8, -67.060194, 157.500000, 0.252472, 6x, 0, 0.100000
8, 9, -38.098988, 157.500000, 0.605209, 6x, 0, 0.100000
8, 10, -34.187017, 157.500000, 0.703174, 6x, 0, 0.100000
8, 11, -29.177253, 157.500000, 0.853746, 6x, 0, 0.100000
9, 1, 28.985212, 22.500000, 0.820852, 1x, 0, 0.100000
9, 2, 34.060933, 22.500000, 0.724306, 1x, 0, 0.100000
9, 3, 26.988943, 22.500000, 0.913140, 1x, 0, 0.100000
10, 1, -40.103133, 135.000000, 0.937151, 6x, 0, 0.100000
11, 1, -104.053986, 157.500000, 0.105715, 1x, 0, 0.100000
11, 2, -73.062415, 157.500000, 0.250923, 1x, 0, 0.100000
11, 3, -46.976636, 157.500000, 0.497070, 1x, 0, 0.100000
11, 4, -28.065660, 157.500000, 0.875141, 1x, 0, 0.100000
12, 1, -30.024342, 67.500000, 0.101632, 2x, 0, 0.100000
12, 2, -68.139819, 67.500000, 0.268667, 2x, 0, 0.100000
12, 3, -108.019411, 67.500000, 0.892970, 2x, 0, 0.100000
13, 1, 39.991623, 112.500000, 0.125835, 6x, 0, 0.100000
13, 2, 85.995596, 112.500000, 0.493148, 6x, 0, 0.100000
13, 3, 104.061550, 112.500000, 0.863117, 6x, 0, 0.100000
14, 1, -14.870441, 112.500000, 0.246118, 2x, 0, 0.100000
14, 2, 8.994596, 112.500000, 0.124293, 2x, 0, 0.100000
14, 3, -52.378663, 112.500000, 0.535305, 2x, 0, 0.100000
14, 4, -64.231615, 112.500000, 0.955325, 2x, 0, 0.100000
15, 1, 13.164967, 67.500000, 0.195604, 1x, 0, 0.100000
15, 2, 46.411406, 67.500000, 0.503952, 1x, 0, 0.100000
15, 3, 76.911451, 67.500000, 0.664325, 1x, 0, 0.100000
15, 4, 97.022927, 67.500000, 0.479585, 1x, 0, 0.100000
15, 5, 73.982775, 67.500000, 0.868142, 1x, 0, 0.100000
16, 1, 0.000000, 45.000000, 0.253115, 2x, 0, 0.100000
16, 2, -24.954972, 45.000000, 0.127362, 2x, 0, 0.100000
16, 3, 37.335406, 45.000000, 0.763899, 2x, 0, 0.100000
16, 4, 40.300256, 45.000000, 0.934055, 2x, 0, 0.100000
17, 1, 21.225103, 112.500000, 0.071208, 1x, 0, 0.100000
17, 2, -44.398521, 112.500000, 0.498261, 1x, 0, 0.100000
17, 3, -60.505995, 112.500000, 0.791643, 1x, 0, 0.100000
17, 4, -64.455602, 112.500000, 0.924052, 1x, 0, 0.100000
18, 1, -40.956542, 90.000000, 0.246452, 6x, 0, 0.100000
18, 2, 1.205211, 90.000000, 0.070069, 6x, 0, 0.100000
18, 3, -63.848125, 90.000000, 0.483332, 6x, 0, 0.100000
18, 4, -91.465999, 90.000000, 0.959335, 6x, 0, 0.100000
19, 1, -21.078772, 135.000000, 0.501776, 1x, 0, 0.100000
19, 2, -39.176298, 135.000000, 0.871174, 1x, 0, 0.100000
20, 1, 24.029787, 157.500000, 0.254912, 2x, 0, 0.100000
20, 2, 67.922324, 157.500000, 0.069270, 2x, 0, 0.100000
20, 3, -18.150040, 157.500000, 0.957099, 2x, 0, 0.100000
21, 1, 22.019931, 22.500000, 0.971390, 6x, 0, 0.100000
22, 1, 19.031842, 45.000000, 0.488507, 1x, 0, 0.100000
22, 2, 29.041051, 45.000000, 0.574926, 1x, 0, 0.100000
22, 3, 42.906441, 45.000000, 0.941421, 1x, 0, 0.100000
23, 1, -20.959523, 90.000000, 0.127889, 2x, 0, 0.100000
23, 2, -67.945629, 90.000000, 0.509456, 2x, 0, 0.100000
23, 3, -83.107639, 90.000000, 0.945708, 2x, 0, 0.100000
24, 1, -18.054477, 22.500000, 0.266292, 6x, 0, 0.100000
24, 2, -48.384637, 22.500000, 0.128767, 6x, 0, 0.100000
24, 3, 14.583236, 22.500000, 0.690199, 6x, 0, 0.100000
24, 4, 22.819638, 22.500000, 0.977413, 6x, 0, 0.100000
25, 1, 13.059691, 22.500000, 0.787801, 2x, 0, 0.100000
25, 2, 17.091644, 22.500000, 0.904416, 2x, 0, 0.100000
26, 1, -15.101025, 157.500000, 0.862377, 1x, 0, 0.100000
27, 1, -16.775794, 135.000000, 0.488705, 6x, 0, 0.100000
27, 2, -31.964278, 135.000000, 0.648823, 6x, 0, 0.100000
27, 3, -41.887770, 135.000000, 0.962793, 6x, 0, 0.100000
28, 1, -73.046575, 90.000000, 0.618852, 6x, 0, 0.100000
28, 2, -79.026398, 90.000000, 0.700895, 6x, 0, 0.100000
28, 3, -89.799232, 90.000000, 0.987563, 6x, 0, 0.100000
29, 1, -23.111009, 67.500000, 0.076246, 2x, 0, 0.100000
29, 2, -73.297968, 67.500000, 0.327856, 2x, 0, 0.100000
29, 3, -128.325407, 67.500000, 0.530167, 2x, 0, 0.100000
29, 4, -152.224219, 67.500000, 0.269801, 2x, 0, 0.100000
29, 5, -135.981758, 67.500000, 0.501244, 2x, 0, 0.100000
29, 6, -117.099816, 67.500000, 0.924243, 2x, 0, 0.100000
30, 1, 25.779128, 22.500000, 0.918619, 1x, 0, 0.100000
31, 1, -23.894991, 157.500000, 0.952353, 2x, 0, 0.100000
32, 1, -50.980475, 67.500000, 0.156381, 1x, 0, 0.100000
32, 2, -100.011518, 67.500000, 0.600828, 1x, 0, 0.100000
32, 3, -108.214138, 67.500000, 0.883885, 1x, 0, 0.100000
33, 1, 34.833183, 112.500000, 0.100128, 6x, 0, 0.100000
33, 2, -34.950922, 112.500000, 0.374549, 6x, 0, 0.100000
33, 3, -57.257639, 112.500000, 0.732910, 6x, 0, 0.100000
33, 4, -64.285640, 112.500000, 0.888517, 6x, 0, 0.100000
34, 1, 23.058791, 135.000000, 0.130581, 2x, 0, 0.100000
34, 2, -60.948193, 135.000000, 0.596337, 2x, 0, 0.100000
34, 3, -77.852857, 135.000000, 0.405144, 2x, 0, 0.100000
34, 4, -42.899746, 135.000000, 0.961270, 2x, 0, 0.100000
35, 1, 8.397242, 157.500000, 0.443652, 6x, 0, 0.100000
35, 2, 29.623187, 157.500000, 0.246462, 6x, 0, 0.100000
