target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std, impulse_response
1, 1, -47.055682, 135.000000, 0.973828, 6x, 1, 0.100000, hrf
2, 1, -85.052025, 90.000000, 0.767017, 6x, 1, 0.100000, blur
2, 2, -90.001233, 90.000000, 0.941107, 6x, 1, 0.100000, blur
3, 1, -68.947046, 112.500000, 0.986381, 6x, 1, 0.100000, delay
4, 1, -49.058968, 67.500000, 0.129698, 6x, 0, 0.100000, delay
4, 2, -87.235309, 67.500000, 0.499332, 6x, 0, 0.100000, delay
4, 3, -129.382504, 67.500000, 0.527786, 6x, 0, 0.100000, delay
4, 4, -160.386031, 67.500000, 0.247985, 6x, 0, 0.100000, delay
4, 5, -147.405613, 67.500000, 0.348045, 6x, 0, 0.100000, delay
4, 6, -134.435012, 67.500000, 0.501397, 6x, 0, 0.100000, delay
4, 7, -128.464962, 67.500000, 0.532885, 6x, 0, 0.100000, delay
4, 8, -120.485049, 67.500000, 0.853344, 6x, 0, 0.100000, delay
5, 1, 35.110745, 67.500000, 0.356696, 6x, 0, 0.100000, hrf
5, 2, 12.150879, 67.500000, 0.188625, 6x, 0, 0.100000, hrf
5, 3, 55.296509, 67.500000, 0.634065, 6x, 0, 0.100000, hrf
5, 4, 65.280824, 67.500000, 0.951717, 6x, 0, 0.100000, hrf
6, 1, 25.070416, 112.500000, 0.102915, 6x, 0, 0.100000, blur
6, 2, -48.006150, 112.500000, 0.551141, 6x, 0, 0.100000, blur
6, 3, -65.056516, 112.500000, 0.885162, 6x, 0, 0.100000, blur
7, 1, 43.072062, 45.000000, 0.879427, 6x, 0, 0.100000, blur
8, 1, 67.138162, 90.000000, 0.527968, 6x, 0, 0.100000, hrf
8, 2, 86.068592, 90.000000, 0.974533, 6x, 0, 0.100000, hrf
9, 1, -78.082475, 45.000000, 0.181227, 6x, 0, 0.100000, delay
9, 2, -104.099613, 45.000000, 0.357432, 6x, 0, 0.100000, delay
9, 3, -143.241299, 45.000000, 0.870042, 6x, 0, 0.100000, delay
10, 1, -70.154361, 67.500000, 0.280677, 6x, 0, 0.100000, blur
10, 2, -50.210443, 67.500000, 0.174655, 6x, 0, 0.100000, blur
10, 3, -107.257375, 67.500000, 0.744284, 6x, 0, 0.100000, blur
10, 4, -121.400972, 67.500000, 0.745973, 6x, 0, 0.100000, blur
10, 5, -118.437878, 67.500000, 0.756477, 6x, 0, 0.100000, blur
10, 6, -138.645863, 67.500000, 0.485279, 6x, 0, 0.100000, blur
10, 7, -125.616366, 67.500000, 0.560715, 6x, 0, 0.100000, blur
10, 8, -110.601583, 67.500000, 0.871097, 6x, 0, 0.100000, blur
11, 1, 5.010622, 90.000000, 0.066571, 6x, 0, 0.100000, delay
11, 2, 58.072791, 90.000000, 0.427825, 6x, 0, 0.100000, delay
11, 3, 134.205487, 90.000000, 0.251034, 6x, 0, 0.100000, delay
11, 4, 107.160113, 90.000000, 0.553170, 6x, 0, 0.100000, delay
11, 5, 94.191511, 90.000000, 0.982699, 6x, 0, 0.100000, delay
12, 1, 34.967903, 45.000000, 0.707562, 6x, 0, 0.100000, hrf
12, 2, 39.970857, 45.000000, 0.907036, 6x, 0, 0.100000, hrf
13, 1, 48.038153, 135.000000, 0.100125, 6x, 0, 0.100000, blur
13, 2, -50.191216, 135.000000, 0.857835, 6x, 0, 0.100000, blur
14, 1, 20.009334, 157.500000, 0.273460, 6x, 0, 0.100000, hrf
14, 2, 63.072665, 157.500000, 0.075812, 6x, 0, 0.100000, hrf
14, 3, 138.082382, 157.500000, 0.514247, 6x, 0, 0.100000, hrf
14, 4, 169.034480, 157.500000, 0.607926, 6x, 0, 0.100000, hrf
14, 5, 193.066136, 157.500000, 0.371552, 6x, 0, 0.100000, hrf
14, 6, 180.050967, 157.500000, 0.500236, 6x, 0, 0.100000, hrf
14, 7, 158.119855, 157.500000, 0.970442, 6x, 0, 0.100000, hrf
15, 1, 43.182135, 22.500000, 0.504617, 6x, 0, 0.100000, delay
15, 2, 66.101744, 22.500000, 0.256342, 6x, 0, 0.100000, delay
15, 3, 37.134544, 22.500000, 0.569278, 6x, 0, 0.100000, delay
15, 4, 2.080818, 22.500000, 0.506102, 6x, 0, 0.100000, delay
15, 5, 15.071085, 22.500000, 0.861580, 6x, 0, 0.100000, delay
16, 1, 28.015066, 157.500000, 0.246983, 6x, 0, 0.100000, delay
16, 2, -38.067987, 157.500000, 0.536832, 6x, 0, 0.100000, delay
16, 3, -71.942153, 157.500000, 0.246069, 6x, 0, 0.100000, delay
16, 4, -52.919426, 157.500000, 0.463275, 6x, 0, 0.100000, delay
16, 5, -28.900986, 157.500000, 0.922699, 6x, 0, 0.100000, delay
17, 1, -95.114516, 112.500000, 0.498462, 6x, 0, 0.100000, hrf
17, 2, -118.143408, 112.500000, 0.259696, 6x, 0, 0.100000, hrf
17, 3, -77.057198, 112.500000, 0.777913, 6x, 0, 0.100000, hrf
17, 4, -71.065858, 112.500000, 0.949871, 6x, 0, 0.100000, hrf
18, 1, -88.218407, 22.500000, 0.148245, 6x, 0, 0.100000, blur
18, 2, -58.129910, 22.500000, 0.128866, 6x, 0, 0.100000, blur
18, 3, -118.115434, 22.500000, 0.302759, 6x, 0, 0.100000, blur
18, 4, -155.114815, 22.500000, 0.832660, 6x, 0, 0.100000, blur
18, 5, -160.219754, 22.500000, 0.752161, 6x, 0, 0.100000, blur
18, 6, -152.114480, 22.500000, 0.843212, 6x, 0, 0.100000, blur
18, 7, -151.109964, 22.500000, 0.692553, 6x, 0, 0.100000, blur
18, 8, -154.109814, 22.500000, 0.807853, 6x, 0, 0.100000, blur
18, 9, -157.084136, 22.500000, 0.843336, 6x, 0, 0.100000, blur
18, 10, -160.121049, 22.500000, 0.833839, 6x, 0, 0.100000, blur
18, 11, -161.216242, 22.500000, 0.764889, 6x, 0, 0.100000, blur
18, 12, -158.272973, 22.500000, 0.897738, 6x, 0, 0.100000, blur
19, 1, -39.045179, 135.000000, 0.958779, 6x, 0, 0.100000, delay
20, 1, 72.080476, 157.500000, 0.123610, 6x, 0, 0.100000, blur
20, 2, 35.896600, 157.500000, 0.212438, 6x, 0, 0.100000, blur
20, 3, -39.279215, 157.500000, 0.597290, 6x, 0, 0.100000, blur
20, 4, -71.383188, 157.500000, 0.220361, 6x, 0, 0.100000, blur
20, 5, -20.277521, 157.500000, 0.865341, 6x, 0, 0.100000, blur
21, 1, -58.084674, 22.500000, 0.109070, 6x, 0, 0.100000, hrf
21, 2, -115.182167, 22.500000, 0.267962, 6x, 0, 0.100000, hrf
21, 3, -143.161200, 22.500000, 0.522003, 6x, 0, 0.100000, hrf
21, 4, -155.141651, 22.500000, 0.935383, 6x, 0, 0.100000, hrf
22, 1, -170.262656, 22.500000, 0.607526, 6x, 0, 0.100000, blur
22, 2, -178.301546, 22.500000, 0.481607, 6x, 0, 0.100000, blur
22, 3, -152.176642, 22.500000, 0.803297, 6x, 0, 0.100000, blur
22, 4, -149.245423, 22.500000, 0.600469, 6x, 0, 0.100000, blur
22, 5, -160.205890, 22.500000, 0.800191, 6x, 0, 0.100000, blur
22, 6, -163.326746, 22.500000, 0.690352, 6x, 0, 0.100000, blur
22, 7, -160.366512, 22.500000, 0.900937, 6x, 0, 0.100000, blur
23, 1, 30.108897, 45.000000, 0.594822, 6x, 0, 0.100000, delay
23, 2, 45.212862, 45.000000, 0.990287, 6x, 0, 0.100000, delay
24, 1, -31.943278, 45.000000, 0.103602, 6x, 0, 0.100000, hrf
24, 2, -12.889209, 45.000000, 0.175528, 6x, 0, 0.100000, hrf
