target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std, impulse_response
1, 1, 21.110345, 22.500000, 0.833030, 6x, 1, 0.100000, blur
1, 2, 21.110345, 22.500000, 0.889075, 6x, 1, 0.100000, blur
2, 1, 46.168151, 45.000000, 0.969917, 6x, 1, 0.100000, hrf
3, 1, 92.068477, 90.000000, 0.993302, 6x, 1, 0.100000, delay
4, 1, 87.024748, 67.500000, 0.503072, 6x, 0, 0.100000, delay
4, 2, 107.041402, 67.500000, 0.274650, 6x, 0, 0.100000, delay
4, 3, -33.118026, 67.500000, 0.102729, 6x, 0, 0.100000, delay
4, 4, -33.118026, 67.500000, 0.097604, 6x, 0, 0.100000, delay
4, 5, -5.015524, 67.500000, 0.124123, 6x, 0, 0.100000, delay
4, 6, 109.282779, 67.500000, 0.259299, 6x, 0, 0.100000, delay
4, 7, 204.406981, 67.500000, 0.253508, 6x, 0, 0.100000, delay
4, 8, 178.387222, 67.500000, 0.125560, 6x, 0, 0.100000, delay
4, 9, 268.381702, 67.500000, 0.500938, 6x, 0, 0.100000, delay
4, 10, 274.306733, 67.500000, 0.496406, 6x, 0, 0.100000, delay
4, 11, 255.360774, 67.500000, 0.838087, 6x, 0, 0.100000, delay
4, 12, 255.360774, 67.500000, 0.837484, 6x, 0, 0.100000, delay
4, 13, 250.367082, 67.500000, 0.967429, 6x, 0, 0.100000, delay
5, 1, -22.047404, 22.500000, 0.252129, 6x, 0, 0.100000, hrf
5, 2, 38.115773, 22.500000, 0.528743, 6x, 0, 0.100000, hrf
5, 3, 70.218777, 22.500000, 0.245661, 6x, 0, 0.100000, hrf
5, 4, 49.304104, 22.500000, 0.492924, 6x, 0, 0.100000, hrf
5, 5, 30.065705, 22.500000, 0.785211, 6x, 0, 0.100000, hrf
5, 6, 17.174157, 22.500000, 0.927564, 6x, 0, 0.100000, hrf
6, 1, 85.166172, 67.500000, 0.518053, 6x, 0, 0.100000, blur
6, 2, 108.205402, 67.500000, 0.267284, 6x, 0, 0.100000, blur
6, 3, 26.000731, 67.500000, 0.266368, 6x, 0, 0.100000, blur
6, 4, 52.151776, 67.500000, 0.572939, 6x, 0, 0.100000, blur
6, 5, 64.169892, 67.500000, 0.765430, 6x, 0, 0.100000, blur
6, 6, 77.033527, 67.500000, 0.599927, 6x, 0, 0.100000, blur
6, 7, 72.032296, 67.500000, 0.843088, 6x, 0, 0.100000, blur
6, 8, 67.152537, 67.500000, 0.797928, 6x, 0, 0.100000, blur
6, 9, 68.089578, 67.500000, 0.816009, 6x, 0, 0.100000, blur
6, 10, 70.024950, 67.500000, 0.741283, 6x, 0, 0.100000, blur
6, 11, 63.940340, 67.500000, 0.832459, 6x, 0, 0.100000, blur
6, 12, 61.004121, 67.500000, 0.623135, 6x, 0, 0.100000, blur
6, 13, 64.089221, 67.500000, 0.844064, 6x, 0, 0.100000, blur
6, 14, 64.914824, 67.500000, 0.830173, 6x, 0, 0.100000, blur
6, 15, 68.004026, 67.500000, 0.893200, 6x, 0, 0.100000, blur
7, 1, 0.000000, 22.500000, 0.499801, 6x, 0, 0.100000, delay
7, 2, -7.946142, 22.500000, 0.464246, 6x, 0, 0.100000, delay
7, 3, 34.086750, 22.500000, 0.767805, 6x, 0, 0.100000, delay
7, 4, 40.011181, 22.500000, 0.529967, 6x, 0, 0.100000, delay
7, 5, 36.015980, 22.500000, 0.607984, 6x, 0, 0.100000, delay
7, 6, 31.012475, 22.500000, 0.866248, 6x, 0, 0.100000, delay
8, 1, 0.000000, 112.500000, 0.139420, 6x, 0, 0.100000, blur
8, 2, 91.050780, 112.500000, 0.494540, 6x, 0, 0.100000, blur
8, 3, 126.132095, 112.500000, 0.649137, 6x, 0, 0.100000, blur
8, 4, 137.101605, 112.500000, 0.497515, 6x, 0, 0.100000, blur
8, 5, 110.137323, 112.500000, 0.907598, 6x, 0, 0.100000, blur
9, 1, 47.062787, 135.000000, 0.069659, 6x, 0, 0.100000, hrf
9, 2, -0.878113, 135.000000, 0.258372, 6x, 0, 0.100000, hrf
9, 3, -68.166802, 135.000000, 0.502362, 6x, 0, 0.100000, hrf
9, 4, -108.205956, 135.000000, 0.156480, 6x, 0, 0.100000, hrf
