target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std, impulse_response
1, 1, 101.157243, 135.000000, 0.367060, 6x, 1, 0.100000, delay
1, 2, 134.305402, 135.000000, 0.994471, 6x, 1, 0.100000, delay
2, 1, 108.118785, 157.500000, 0.252402, 6x, 1, 0.100000, hrf
2, 2, 157.357331, 157.500000, 0.983339, 6x, 1, 0.100000, hrf
3, 1, 20.072588, 22.500000, 0.867256, 6x, 1, 0.100000, blur
4, 1, 93.153884, 45.000000, 0.251794, 6x, 0, 0.100000, hrf
4, 2, 136.326849, 45.000000, 0.065758, 6x, 0, 0.100000, hrf
4, 3, 26.264809, 45.000000, 0.520280, 6x, 0, 0.100000, hrf
4, 4, -4.558478, 45.000000, 0.250970, 6x, 0, 0.100000, hrf
4, 5, 14.645398, 45.000000, 0.417548, 6x, 0, 0.100000, hrf
4, 6, 40.674702, 45.000000, 0.931384, 6x, 0, 0.100000, hrf
5, 1, 110.138033, 90.000000, 0.510214, 6x, 0, 0.100000, delay
5, 2, 127.095259, 90.000000, 0.275268, 6x, 0, 0.100000, delay
5, 3, 50.135739, 90.000000, 0.261034, 6x, 0, 0.100000, delay
5, 4, 85.277602, 90.000000, 0.978932, 6x, 0, 0.100000, delay
6, 1, -59.173389, 112.500000, 0.551191, 6x, 0, 0.100000, blur
6, 2, -91.208741, 112.500000, 0.511138, 6x, 0, 0.100000, blur
6, 3, -60.057055, 112.500000, 0.732367, 6x, 0, 0.100000, blur
6, 4, -48.918529, 112.500000, 0.491643, 6x, 0, 0.100000, blur
6, 5, -63.778068, 112.500000, 0.809556, 6x, 0, 0.100000, blur
6, 6, -68.785549, 112.500000, 0.895730, 6x, 0, 0.100000, blur
7, 1, 46.958643, 90.000000, 0.276715, 6x, 0, 0.100000, blur
7, 2, 87.076904, 90.000000, 0.808333, 6x, 0, 0.100000, blur
7, 3, 93.061488, 90.000000, 0.870778, 6x, 0, 0.100000, blur
8, 1, 33.030166, 135.000000, 0.126614, 6x, 0, 0.100000, hrf
8, 2, 91.117763, 135.000000, 0.257546, 6x, 0, 0.100000, hrf
8, 3, 185.209701, 135.000000, 0.254274, 6x, 0, 0.100000, hrf
8, 4, 116.099062, 135.000000, 0.517073, 6x, 0, 0.100000, hrf
8, 5, 133.089940, 135.000000, 0.951782, 6x, 0, 0.100000, hrf
9, 1, 29.074129, 45.000000, 0.546872, 6x, 0, 0.100000, delay
9, 2, 46.270636, 45.000000, 0.991343, 6x, 0, 0.100000, delay
10, 1, 73.177479, 45.000000, 0.399569, 6x, 0, 0.100000, blur
10, 2, 96.264265, 45.000000, 0.266245, 6x, 0, 0.100000, blur
10, 3, -36.992928, 45.000000, 0.122621, 6x, 0, 0.100000, blur
10, 4, -0.990201, 45.000000, 0.254323, 6x, 0, 0.100000, blur
10, 5, 24.998362, 45.000000, 0.502658, 6x, 0, 0.100000, blur
10, 6, 57.980053, 45.000000, 0.678209, 6x, 0, 0.100000, blur
10, 7, 69.004344, 45.000000, 0.482673, 6x, 0, 0.100000, blur
10, 8, 59.991981, 45.000000, 0.582656, 6x, 0, 0.100000, blur
10, 9, 50.077209, 45.000000, 0.795272, 6x, 0, 0.100000, blur
10, 10, 46.111594, 45.000000, 0.870818, 6x, 0, 0.100000, blur
11, 1, 106.123548, 90.000000, 0.592279, 6x, 0, 0.100000, hrf
11, 2, 128.180796, 90.000000, 0.282645, 6x, 0, 0.100000, hrf
11, 3, 98.105612, 90.000000, 0.900943, 6x, 0, 0.100000, hrf
12, 1, -63.913436, 157.500000, 0.263903, 6x, 0, 0.100000, delay
12, 2, -91.012058, 157.500000, 0.125674, 6x, 0, 0.100000, delay
12, 3, 4.100173, 157.500000, 0.497575, 6x, 0, 0.100000, delay
12, 4, 34.098535, 157.500000, 0.199120, 6x, 0, 0.100000, delay
12, 5, -41.920314, 157.500000, 0.504425, 6x, 0, 0.100000, delay
12, 6, -55.021348, 157.500000, 0.449248, 6x, 0, 0.100000, delay
12, 7, -42.142957, 157.500000, 0.505862, 6x, 0, 0.100000, delay
12, 8, -31.121688, 157.500000, 0.884243, 6x, 0, 0.100000, delay
13, 1, 78.028149, 112.500000, 0.406136, 6x, 0, 0.100000, hrf
13, 2, 100.111469, 112.500000, 0.695408, 6x, 0, 0.100000, hrf
13, 3, 111.286709, 112.500000, 0.959716, 6x, 0, 0.100000, hrf
14, 1, -70.901854, 112.500000, 0.966432, 6x, 0, 0.100000, delay
15, 1, -108.156678, 135.000000, 0.173303, 6x, 0, 0.100000, blur
15, 2, -175.260436, 135.000000, 0.256687, 6x, 0, 0.100000, blur
15, 3, -235.488718, 135.000000, 0.729793, 6x, 0, 0.100000, blur
15, 4, -245.530930, 135.000000, 0.512918, 6x, 0, 0.100000, blur
15, 5, -233.542279, 135.000000, 0.764747, 6x, 0, 0.100000, blur
15, 6, -227.574912, 135.000000, 0.904440, 6x, 0, 0.100000, blur
16, 1, -21.059783, 67.500000, 0.106540, 6x, 0, 0.100000, blur
16, 2, 92.157726, 67.500000, 0.470927, 6x, 0, 0.100000, blur
16, 3, 145.192052, 67.500000, 0.146283, 6x, 0, 0.100000, blur
16, 4, 97.210740, 67.500000, 0.427300, 6x, 0, 0.100000, blur
16, 5, 50.228634, 67.500000, 0.536829, 6x, 0, 0.100000, blur
16, 6, 17.235131, 67.500000, 0.235270, 6x, 0, 0.100000, blur
16, 7, 52.368117, 67.500000, 0.609200, 6x, 0, 0.100000, blur
16, 8, 62.463880, 67.500000, 0.806077, 6x, 0, 0.100000, blur
16, 9, 67.435385, 67.500000, 0.898472, 6x, 0, 0.100000, blur
17, 1, 113.114915, 22.500000, 0.068409, 6x, 0, 0.100000, hrf
