target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std, impulse_response
1, 1, 28.948426, 22.500000, 0.889057, 6x, 1, 0.100000, hrf
2, 1, 102.114840, 112.500000, 0.782317, 6x, 1, 0.100000, delay
2, 2, 112.862624, 112.500000, 0.987933, 6x, 1, 0.100000, delay
3, 1, 48.130377, 45.000000, 0.867111, 6x, 1, 0.100000, blur
4, 1, 33.016741, 157.500000, 0.207788, 6x, 0, 0.100000, delay
4, 2, -20.014051, 157.500000, 0.983526, 6x, 0, 0.100000, delay
5, 1, 0.000000, 157.500000, 0.505572, 6x, 0, 0.100000, hrf
5, 2, 12.138306, 157.500000, 0.372921, 6x, 0, 0.100000, hrf
5, 3, -14.033647, 157.500000, 0.841647, 6x, 0, 0.100000, hrf
5, 4, -14.033647, 157.500000, 0.725637, 6x, 0, 0.100000, hrf
5, 5, -25.899602, 157.500000, 0.843145, 6x, 0, 0.100000, hrf
5, 6, 12.092717, 157.500000, 0.412293, 6x, 0, 0.100000, hrf
5, 7, -13.918558, 157.500000, 0.795429, 6x, 0, 0.100000, hrf
5, 8, -20.881204, 157.500000, 0.953958, 6x, 0, 0.100000, hrf
6, 1, 34.105925, 112.500000, 0.135549, 6x, 0, 0.100000, blur
6, 2, -30.903128, 112.500000, 0.361639, 6x, 0, 0.100000, blur
6, 3, -73.867434, 112.500000, 0.690385, 6x, 0, 0.100000, blur
6, 4, -86.054180, 112.500000, 0.501914, 6x, 0, 0.100000, blur
6, 5, -66.173016, 112.500000, 0.863775, 6x, 0, 0.100000, blur
7, 1, 72.104536, 22.500000, 0.256075, 6x, 0, 0.100000, blur
7, 2, 13.016730, 22.500000, 0.657275, 6x, 0, 0.100000, blur
7, 3, -9.175610, 22.500000, 0.408229, 6x, 0, 0.100000, blur
7, 4, 16.672382, 22.500000, 0.778588, 6x, 0, 0.100000, blur
7, 5, 30.635408, 22.500000, 0.743680, 6x, 0, 0.100000, blur
7, 6, 18.637955, 22.500000, 0.823176, 6x, 0, 0.100000, blur
7, 7, 10.553423, 22.500000, 0.656052, 6x, 0, 0.100000, blur
7, 8, 29.442359, 22.500000, 0.750986, 6x, 0, 0.100000, blur
7, 9, 45.500639, 22.500000, 0.498525, 6x, 0, 0.100000, blur
7, 10, -9.491754, 22.500000, 0.432581, 6x, 0, 0.100000, blur
7, 11, -53.431817, 22.500000, 0.137403, 6x, 0, 0.100000, blur
7, 12, 22.671143, 22.500000, 0.818051, 6x, 0, 0.100000, blur
7, 13, 34.631166, 22.500000, 0.624670, 6x, 0, 0.100000, blur
7, 14, 16.618885, 22.500000, 0.835318, 6x, 0, 0.100000, blur
7, 15, 10.573016, 22.500000, 0.644964, 6x, 0, 0.100000, blur
7, 16, -10.438443, 22.500000, 0.369620, 6x, 0, 0.100000, blur
7, 17, 17.423937, 22.500000, 0.761038, 6x, 0, 0.100000, blur
7, 18, 21.638799, 22.500000, 0.881104, 6x, 0, 0.100000, blur
8, 1, 0.000000, 90.000000, 0.063047, 6x, 0, 0.100000, delay
8, 2, -87.190975, 90.000000, 0.987154, 6x, 0, 0.100000, delay
9, 1, 0.000000, 90.000000, 0.066109, 6x, 0, 0.100000, hrf
9, 2, 81.051266, 90.000000, 0.912235, 6x, 0, 0.100000, hrf
10, 1, 0.000000, 157.500000, 0.492497, 6x, 0, 0.100000, blur
10, 2, 20.954762, 157.500000, 0.278843, 6x, 0, 0.100000, blur
10, 3, -44.029080, 157.500000, 0.522081, 6x, 0, 0.100000, blur
10, 4, -68.211476, 157.500000, 0.280222, 6x, 0, 0.100000, blur
10, 5, -62.900051, 157.500000, 0.317267, 6x, 0, 0.100000, blur
10, 6, -32.856499, 157.500000, 0.647147, 6x, 0, 0.100000, blur
10, 7, -14.897943, 157.500000, 0.743962, 6x, 0, 0.100000, blur
10, 8, -2.864953, 157.500000, 0.549225, 6x, 0, 0.100000, blur
10, 9, -16.922392, 157.500000, 0.823628, 6x, 0, 0.100000, blur
10, 10, -20.817961, 157.500000, 0.866698, 6x, 0, 0.100000, blur
11, 1, 0.000000, 45.000000, 0.250750, 6x, 0, 0.100000, hrf
11, 2, 31.112827, 45.000000, 0.553011, 6x, 0, 0.100000, hrf
11, 3, 47.185754, 45.000000, 0.977632, 6x, 0, 0.100000, hrf
12, 1, 0.000000, 67.500000, 0.125568, 6x, 0, 0.100000, delay
12, 2, 64.165218, 67.500000, 0.962971, 6x, 0, 0.100000, delay
13, 1, 0.000000, 67.500000, 0.127460, 6x, 0, 0.100000, hrf
13, 2, -59.945940, 67.500000, 0.247799, 6x, 0, 0.100000, hrf
13, 3, -165.074486, 67.500000, 0.239579, 6x, 0, 0.100000, hrf
13, 4, -116.019689, 67.500000, 0.907064, 6x, 0, 0.100000, hrf
14, 1, 0.000000, 45.000000, 0.250998, 6x, 0, 0.100000, delay
14, 2, 16.917881, 45.000000, 0.486204, 6x, 0, 0.100000, delay
14, 3, 34.893147, 45.000000, 0.751690, 6x, 0, 0.100000, delay
14, 4, 45.907564, 45.000000, 0.986484, 6x, 0, 0.100000, delay
15, 1, 0.000000, 135.000000, 0.253104, 6x, 0, 0.100000, blur
15, 2, 38.132671, 135.000000, 0.118842, 6x, 0, 0.100000, blur
15, 3, -27.941489, 135.000000, 0.562712, 6x, 0, 0.100000, blur
15, 4, -55.973422, 135.000000, 0.631537, 6x, 0, 0.100000, blur
15, 5, -69.043706, 135.000000, 0.481351, 6x, 0, 0.100000, blur
15, 6, -44.803208, 135.000000, 0.906598, 6x, 0, 0.100000, blur
16, 1, 0.000000, 67.500000, 0.149029, 6x, 0, 0.100000, blur
16, 2, -91.202993, 67.500000, 0.509199, 6x, 0, 0.100000, blur
