target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std, impulse_response
1, 1, 94.209882, 90.000000, 0.981471, 6x, 1, 0.100000, delay
2, 1, 11.300679, 157.500000, 0.406202, 6x, 1, 0.100000, blur
2, 2, -22.939972, 157.500000, 0.915672, 6x, 1, 0.100000, blur
3, 1, 82.095543, 112.500000, 0.452249, 6x, 1, 0.100000, hrf
3, 2, 26.113459, 112.500000, 0.080991, 6x, 1, 0.100000, hrf
3, 3, 96.160308, 112.500000, 0.617980, 6x, 1, 0.100000, hrf
3, 4, 113.034778, 112.500000, 0.951115, 6x, 1, 0.100000, hrf
4, 1, -27.073598, 67.500000, 0.069697, 6x, 0, 0.100000, delay
4, 2, -95.999304, 67.500000, 0.519534, 6x, 0, 0.100000, delay
4, 3, -110.014615, 67.500000, 0.972892, 6x, 0, 0.100000, delay
5, 1, 25.905618, 112.500000, 0.114917, 6x, 0, 0.100000, blur
5, 2, 139.134268, 112.500000, 0.509108, 6x, 0, 0.100000, blur
5, 3, 164.230560, 112.500000, 0.239656, 6x, 0, 0.100000, blur
5, 4, 113.259857, 112.500000, 0.883255, 6x, 0, 0.100000, blur
6, 1, -53.052743, 45.000000, 0.085958, 6x, 0, 0.100000, hrf
6, 2, -147.148017, 45.000000, 0.662155, 6x, 0, 0.100000, hrf
6, 3, -161.082673, 45.000000, 0.493474, 6x, 0, 0.100000, hrf
6, 4, -127.891637, 45.000000, 0.818840, 6x, 0, 0.100000, hrf
6, 5, -118.905665, 45.000000, 0.527575, 6x, 0, 0.100000, hrf
6, 6, -123.923113, 45.000000, 0.681599, 6x, 0, 0.100000, hrf
6, 7, -128.792324, 45.000000, 0.830279, 6x, 0, 0.100000, hrf
6, 8, -131.810716, 45.000000, 0.946862, 6x, 0, 0.100000, hrf
7, 1, -57.973455, 67.500000, 0.218697, 6x, 0, 0.100000, blur
7, 2, -97.909051, 67.500000, 0.597703, 6x, 0, 0.100000, blur
7, 3, -112.929561, 67.500000, 0.795147, 6x, 0, 0.100000, blur
7, 4, -119.922234, 67.500000, 0.784776, 6x, 0, 0.100000, blur
7, 5, -116.849677, 67.500000, 0.810021, 6x, 0, 0.100000, blur
7, 6, -111.815896, 67.500000, 0.841013, 6x, 0, 0.100000, blur
7, 7, -107.780735, 67.500000, 0.695543, 6x, 0, 0.100000, blur
7, 8, -119.850908, 67.500000, 0.805235, 6x, 0, 0.100000, blur
7, 9, -125.904998, 67.500000, 0.572743, 6x, 0, 0.100000, blur
7, 10, -120.934740, 67.500000, 0.683586, 6x, 0, 0.100000, blur
7, 11, -112.896912, 67.500000, 0.723862, 6x, 0, 0.100000, blur
7, 12, -108.885242, 67.500000, 0.900954, 6x, 0, 0.100000, blur
8, 1, -42.053530, 135.000000, 0.978569, 6x, 0, 0.100000, hrf
9, 1, 41.037154, 157.500000, 0.130603, 6x, 0, 0.100000, delay
9, 2, 140.270583, 157.500000, 0.518841, 6x, 0, 0.100000, delay
9, 3, 162.254466, 157.500000, 0.954790, 6x, 0, 0.100000, delay
10, 1, 60.075992, 90.000000, 0.433524, 6x, 0, 0.100000, blur
10, 2, 92.261242, 90.000000, 0.899587, 6x, 0, 0.100000, blur
11, 1, -54.113530, 22.500000, 0.114771, 6x, 0, 0.100000, delay
11, 2, -171.269488, 22.500000, 0.596456, 6x, 0, 0.100000, delay
11, 3, -182.214330, 22.500000, 0.500094, 6x, 0, 0.100000, delay
11, 4, -150.149968, 22.500000, 0.914182, 6x, 0, 0.100000, delay
12, 1, -40.978102, 22.500000, 0.139239, 6x, 0, 0.100000, hrf
12, 2, -144.088974, 22.500000, 0.588961, 6x, 0, 0.100000, hrf
12, 3, -167.103155, 22.500000, 0.773523, 6x, 0, 0.100000, hrf
12, 4, -176.175282, 22.500000, 0.508896, 6x, 0, 0.100000, hrf
12, 5, -169.213235, 22.500000, 0.602609, 6x, 0, 0.100000, hrf
12, 6, -160.198605, 22.500000, 0.877022, 6x, 0, 0.100000, hrf
13, 1, -80.145861, 22.500000, 0.134635, 6x, 0, 0.100000, blur
13, 2, -148.335929, 22.500000, 0.736883, 6x, 0, 0.100000, blur
13, 3, -150.341393, 22.500000, 0.727875, 6x, 0, 0.100000, blur
13, 4, -157.420006, 22.500000, 0.918638, 6x, 0, 0.100000, blur
14, 1, -19.067275, 135.000000, 0.496782, 6x, 0, 0.100000, delay
14, 2, 0.031479, 135.000000, 0.250775, 6x, 0, 0.100000, delay
14, 3, 24.118632, 135.000000, 0.126600, 6x, 0, 0.100000, delay
14, 4, -38.853596, 135.000000, 0.942409, 6x, 0, 0.100000, delay
15, 1, -165.146268, 67.500000, 0.186005, 6x, 0, 0.100000, hrf
15, 2, -245.291058, 67.500000, 0.249707, 6x, 0, 0.100000, hrf
15, 3, -324.327567, 67.500000, 0.448758, 6x, 0, 0.100000, hrf
15, 4, -361.338728, 67.500000, 0.127551, 6x, 0, 0.100000, hrf
15, 5, -336.413352, 67.500000, 0.249734, 6x, 0, 0.100000, hrf
15, 6, -292.427769, 67.500000, 0.966751, 6x, 0, 0.100000, hrf
16, 1, -48.063895, 90.000000, 0.259459, 6x, 0, 0.100000, hrf
