target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std, impulse_response
1, 1, 22.024309, 22.500000, 0.943846, 6x, 1, 0.100000, hrf
2, 1, 68.156753, 67.500000, 0.987660, 6x, 1, 0.100000, delay
3, 1, -23.035643, 157.500000, 0.885369, 6x, 1, 0.100000, blur
4, 1, 37.121313, 112.500000, 0.109193, 6x, 0, 0.100000, hrf
4, 2, 82.176037, 112.500000, 0.471016, 6x, 0, 0.100000, hrf
4, 3, 98.118758, 112.500000, 0.551703, 6x, 0, 0.100000, hrf
4, 4, 110.213073, 112.500000, 0.941273, 6x, 0, 0.100000, hrf
5, 1, -105.157449, 135.000000, 0.157907, 6x, 0, 0.100000, delay
5, 2, -158.216468, 135.000000, 0.126443, 6x, 0, 0.100000, delay
5, 3, -17.986531, 135.000000, 0.494298, 6x, 0, 0.100000, delay
5, 4, 0.037529, 135.000000, 0.250700, 6x, 0, 0.100000, delay
5, 5, -43.217336, 135.000000, 0.988806, 6x, 0, 0.100000, delay
6, 1, 18.099289, 135.000000, 0.168104, 6x, 0, 0.100000, blur
6, 2, 40.098612, 135.000000, 0.108911, 6x, 0, 0.100000, blur
6, 3, -42.034115, 135.000000, 0.873254, 6x, 0, 0.100000, blur
7, 1, -34.129923, 135.000000, 0.845688, 6x, 0, 0.100000, hrf
7, 2, -40.235242, 135.000000, 0.912335, 6x, 0, 0.100000, hrf
8, 1, 43.951004, 22.500000, 0.504820, 6x, 0, 0.100000, delay
8, 2, 49.934659, 22.500000, 0.491659, 6x, 0, 0.100000, delay
8, 3, 14.801805, 22.500000, 0.877404, 6x, 0, 0.100000, delay
9, 1, -26.088335, 90.000000, 0.145975, 6x, 0, 0.100000, blur
9, 2, -88.356230, 90.000000, 0.865598, 6x, 0, 0.100000, blur
10, 1, -31.018853, 45.000000, 0.156446, 6x, 0, 0.100000, blur
10, 2, -62.116028, 45.000000, 0.143112, 6x, 0, 0.100000, blur
10, 3, -111.121123, 45.000000, 0.497885, 6x, 0, 0.100000, blur
10, 4, -131.139204, 45.000000, 0.848791, 6x, 0, 0.100000, blur
10, 5, -136.061503, 45.000000, 0.802304, 6x, 0, 0.100000, blur
10, 6, -125.146896, 45.000000, 0.840873, 6x, 0, 0.100000, blur
10, 7, -129.179108, 45.000000, 0.873546, 6x, 0, 0.100000, blur
11, 1, 0.000000, 45.000000, 0.251139, 6x, 0, 0.100000, hrf
11, 2, 18.984145, 45.000000, 0.479198, 6x, 0, 0.100000, hrf
11, 3, 40.959550, 45.000000, 0.964930, 6x, 0, 0.100000, hrf
12, 1, -36.907193, 90.000000, 0.234270, 6x, 0, 0.100000, delay
12, 2, -59.006004, 90.000000, 0.430160, 6x, 0, 0.100000, delay
12, 3, -80.100315, 90.000000, 0.864380, 6x, 0, 0.100000, delay
13, 1, -56.051847, 67.500000, 0.206573, 6x, 0, 0.100000, hrf
13, 2, -97.182945, 67.500000, 0.532520, 6x, 0, 0.100000, hrf
