trs_to_target, target_angle, impulse_response, visible_bool, noise_std
4, 45.000000, impulse, 1, 0.100000
4, 135.000000, impulse, 1, 0.100000
10, 90.000000, impulse, 1, 0.100000
5, 67.500000, impulse, 0, 0.100000
4, 22.500000, impulse, 0, 0.100000
8, 112.500000, impulse, 0, 0.100000
8, 90.000000, impulse, 0, 0.100000
12, 135.000000, impulse, 0, 0.100000
7, 45.000000, impulse, 0, 0.100000
4, 157.500000, impulse, 0, 0.100000
19, 22.500000, impulse, 0, 0.100000
5, 135.000000, impulse, 0, 0.100000
8, 112.500000, impulse, 0, 0.100000
8, 67.500000, impulse, 0, 0.100000
4, 157.500000, impulse, 0, 0.100000
8, 90.000000, impulse, 0, 0.100000
8, 45.000000, impulse, 0, 0.100000
11, 90.000000, delay, 1, 0.100000
24, 45.000000, delay, 1, 0.100000
8, 135.000000, delay, 1, 0.100000
45, 157.500000, delay, 0, 0.100000
36, 67.500000, delay, 0, 0.100000
12, 90.000000, delay, 0, 0.100000
9, 22.500000, delay, 0, 0.100000
7, 135.000000, delay, 0, 0.100000
32, 45.000000, delay, 0, 0.100000
25, 112.500000, delay, 0, 0.100000
28, 45.000000, delay, 0, 0.100000
13, 157.500000, delay, 0, 0.100000
38, 135.000000, delay, 0, 0.100000
7, 22.500000, delay, 0, 0.100000
20, 112.500000, delay, 0, 0.100000
20, 90.000000, delay, 0, 0.100000
20, 67.500000, delay, 0, 0.100000
32, 45.000000, blur, 1, 0.100000
5, 90.000000, blur, 1, 0.100000
15, 135.000000, blur, 1, 0.100000
12, 67.500000, blur, 0, 0.100000
22, 22.500000, blur, 0, 0.100000
19, 157.500000, blur, 0, 0.100000
18, 135.000000, blur, 0, 0.100000
13, 90.000000, blur, 0, 0.100000
23, 112.500000, blur, 0, 0.100000
10, 45.000000, blur, 0, 0.100000
12, 112.500000, blur, 0, 0.100000
12, 135.000000, blur, 0, 0.100000
8, 45.000000, blur, 0, 0.100000
31, 22.500000, blur, 0, 0.100000
12, 67.500000, blur, 0, 0.100000
22, 157.500000, blur, 0, 0.100000
12, 90.000000, blur, 0, 0.100000
7, 90.000000, hrf, 1, 0.100000
9, 45.000000, hrf, 1, 0.100000
24, 135.000000, hrf, 1, 0.100000
12, 112.500000, hrf, 0, 0.100000
11, 67.500000, hrf, 0, 0.100000
18, 45.000000, hrf, 0, 0.100000
8, 90.000000, hrf, 0, 0.100000
13, 135.000000, hrf, 0, 0.100000
17, 157.500000, hrf, 0, 0.100000
15, 22.500000, hrf, 0, 0.100000
38, 45.000000, hrf, 0, 0.100000
14, 135.000000, hrf, 0, 0.100000
17, 90.000000, hrf, 0, 0.100000
12, 157.500000, hrf, 0, 0.100000
13, 112.500000, hrf, 0, 0.100000
16, 22.500000, hrf, 0, 0.100000
13, 67.500000, hrf, 0, 0.100000
