trial_num, tr_num, angle, target_angle, score, impulse_response, visible_bool, noise_std
1, 1, -12.395243, 135.000000, 0.403323, impulse, 1, 0.100000
1, 2, -48.120709, 135.000000, 0.984710, impulse, 1, 0.100000
1, 3, -45.446815, 135.000000, 0.996947, impulse, 1, 0.100000
1, 4, -45.868958, 135.000000, 0.994124, impulse, 1, 0.100000
2, 1, 12.053774, 45.000000, 0.391518, impulse, 1, 0.100000
2, 2, 43.420845, 45.000000, 0.985799, impulse, 1, 0.100000
2, 3, 40.170652, 45.000000, 0.975073, impulse, 1, 0.100000
2, 4, 45.864269, 45.000000, 0.989687, impulse, 1, 0.100000
3, 1, 15.221857, 90.000000, 0.119325, impulse, 1, 0.100000
3, 2, 66.108147, 90.000000, 0.507018, impulse, 1, 0.100000
3, 3, 83.981878, 90.000000, 0.980586, impulse, 1, 0.100000
3, 4, 87.916144, 90.000000, 0.991514, impulse, 1, 0.100000
3, 5, 87.916144, 90.000000, 0.987769, impulse, 1, 0.100000
4, 1, -8.000202, 90.000000, 0.077632, impulse, 0, 0.100000
4, 2, -33.296682, 90.000000, 0.191035, impulse, 0, 0.100000
4, 3, -47.771598, 90.000000, 0.252281, impulse, 0, 0.100000
4, 4, -65.997957, 90.000000, 0.502788, impulse, 0, 0.100000
4, 5, -81.681401, 90.000000, 0.854482, impulse, 0, 0.100000
4, 6, -97.589740, 90.000000, 0.931030, impulse, 0, 0.100000
4, 7, -97.783167, 90.000000, 0.902794, impulse, 0, 0.100000
5, 1, 10.885283, 157.500000, 0.420380, impulse, 0, 0.100000
5, 2, 24.671021, 157.500000, 0.248013, impulse, 0, 0.100000
5, 3, 29.832784, 157.500000, 0.227585, impulse, 0, 0.100000
5, 4, 28.972694, 157.500000, 0.239025, impulse, 0, 0.100000
5, 5, 28.000932, 157.500000, 0.243107, impulse, 0, 0.100000
5, 6, 13.795100, 157.500000, 0.340805, impulse, 0, 0.100000
5, 7, 2.343940, 157.500000, 0.498247, impulse, 0, 0.100000
5, 8, -22.280090, 157.500000, 0.992026, impulse, 0, 0.100000
5, 9, -31.513613, 157.500000, 0.902847, impulse, 0, 0.100000
5, 10, -30.850092, 157.500000, 0.851392, impulse, 0, 0.100000
6, 1, 15.805545, 22.500000, 0.882710, impulse, 0, 0.100000
6, 2, 25.660476, 22.500000, 0.968687, impulse, 0, 0.100000
6, 3, 25.660476, 22.500000, 0.967261, impulse, 0, 0.100000
7, 1, -23.475062, 135.000000, 0.503140, impulse, 0, 0.100000
7, 2, -42.310527, 135.000000, 0.991319, impulse, 0, 0.100000
7, 3, -51.046170, 135.000000, 0.968174, impulse, 0, 0.100000
7, 4, -54.127762, 135.000000, 0.875472, impulse, 0, 0.100000
8, 1, 11.169414, 112.500000, 0.097298, impulse, 0, 0.100000
8, 2, 32.716512, 112.500000, 0.088099, impulse, 0, 0.100000
8, 3, 66.044193, 112.500000, 0.251602, impulse, 0, 0.100000
8, 4, 51.317358, 112.500000, 0.135474, impulse, 0, 0.100000
8, 5, 47.735519, 112.500000, 0.128236, impulse, 0, 0.100000
8, 6, 67.477568, 112.500000, 0.253829, impulse, 0, 0.100000
8, 7, 82.927811, 112.500000, 0.481406, impulse, 0, 0.100000
8, 8, 111.721650, 112.500000, 0.986907, impulse, 0, 0.100000
8, 9, 130.587995, 112.500000, 0.505477, impulse, 0, 0.100000
8, 10, 130.113983, 112.500000, 0.520535, impulse, 0, 0.100000
8, 11, 124.582624, 112.500000, 0.546428, impulse, 0, 0.100000
8, 12, 118.797221, 112.500000, 0.825795, impulse, 0, 0.100000
8, 13, 112.555886, 112.500000, 0.993266, impulse, 0, 0.100000
8, 14, 112.555886, 112.500000, 0.990946, impulse, 0, 0.100000
9, 1, 17.916980, 45.000000, 0.494666, impulse, 0, 0.100000
9, 2, 55.254099, 45.000000, 0.809495, impulse, 0, 0.100000
9, 3, 79.424411, 45.000000, 0.310482, impulse, 0, 0.100000
9, 4, 78.421057, 45.000000, 0.331407, impulse, 0, 0.100000
9, 5, 68.350618, 45.000000, 0.498012, impulse, 0, 0.100000
9, 6, 58.875957, 45.000000, 0.676573, impulse, 0, 0.100000
9, 7, 42.513878, 45.000000, 0.989983, impulse, 0, 0.100000
9, 8, 24.674904, 45.000000, 0.502181, impulse, 0, 0.100000
9, 9, 25.436416, 45.000000, 0.510564, impulse, 0, 0.100000
9, 10, 38.830163, 45.000000, 0.946244, impulse, 0, 0.100000
9, 11, 38.863687, 45.000000, 0.929873, impulse, 0, 0.100000
9, 12, 38.863687, 45.000000, 0.934976, impulse, 0, 0.100000
10, 1, 37.361942, 67.500000, 0.468478, impulse, 0, 0.100000
10, 2, 52.529141, 67.500000, 0.572380, impulse, 0, 0.100000
10, 3, 92.327248, 67.500000, 0.499194, impulse, 0, 0.100000
10, 4, 103.303220, 67.500000, 0.337789, impulse, 0, 0.100000
10, 5, 68.549069, 67.500000, 0.980962, impulse, 0, 0.100000
10, 6, 65.817426, 67.500000, 0.978453, impulse, 0, 0.100000
10, 7, 65.817426, 67.500000, 0.975997, impulse, 0, 0.100000
11, 1, 14.719577, 45.000000, 0.448580, impulse, 0, 0.100000
11, 2, 50.081573, 45.000000, 0.953067, impulse, 0, 0.100000
11, 3, 50.118625, 45.000000, 0.959850, impulse, 0, 0.100000
11, 4, 56.293186, 45.000000, 0.796142, impulse, 0, 0.100000
12, 1, -8.977887, 90.000000, 0.081768, impulse, 0, 0.100000
12, 2, -26.966325, 90.000000, 0.132066, impulse, 0, 0.100000
12, 3, -82.864195, 90.000000, 0.925483, impulse, 0, 0.100000
12, 4, -86.380718, 90.000000, 0.982034, impulse, 0, 0.100000
12, 5, -90.845557, 90.000000, 0.995704, impulse, 0, 0.100000
13, 1, 9.110963, 135.000000, 0.226110, impulse, 0, 0.100000
13, 2, 28.698358, 135.000000, 0.120396, impulse, 0, 0.100000
13, 3, 47.785160, 135.000000, 0.065466, impulse, 0, 0.100000
13, 4, -15.790616, 135.000000, 0.491454, impulse, 0, 0.100000
13, 5, -34.772600, 135.000000, 0.780254, impulse, 0, 0.100000
13, 6, -80.869708, 135.000000, 0.347197, impulse, 0, 0.100000
