trial_num, tr_num, angle, target_angle, score, impulse_response, visible_bool, noise_std
1, 1, 0.000000, 135.000000, 0.251678, impulse, 1, 0.100000
1, 2, -4.276265, 135.000000, 0.260763, impulse, 1, 0.100000
1, 3, -13.660933, 135.000000, 0.440273, impulse, 1, 0.100000
1, 4, -19.931692, 135.000000, 0.496651, impulse, 1, 0.100000
1, 5, -34.373661, 135.000000, 0.877657, impulse, 1, 0.100000
1, 6, -48.086442, 135.000000, 0.978477, impulse, 1, 0.100000
1, 7, -48.086442, 135.000000, 0.988280, impulse, 1, 0.100000
2, 1, 19.936044, 90.000000, 0.126135, impulse, 1, 0.100000
2, 2, 83.814259, 90.000000, 0.963051, impulse, 1, 0.100000
2, 3, 89.326643, 90.000000, 0.996119, impulse, 1, 0.100000
2, 4, 89.326643, 90.000000, 0.986969, impulse, 1, 0.100000
3, 1, 20.792160, 45.000000, 0.499706, impulse, 1, 0.100000
3, 2, 45.178410, 45.000000, 0.990663, impulse, 1, 0.100000
3, 3, 44.303881, 45.000000, 0.991721, impulse, 1, 0.100000
3, 4, 44.303881, 45.000000, 0.992850, impulse, 1, 0.100000
4, 1, -2.221515, 67.500000, 0.125528, impulse, 0, 0.100000
4, 2, -9.977133, 67.500000, 0.110315, impulse, 0, 0.100000
4, 3, -18.947690, 67.500000, 0.069118, impulse, 0, 0.100000
4, 4, -18.301895, 67.500000, 0.067559, impulse, 0, 0.100000
4, 5, 21.867553, 67.500000, 0.248718, impulse, 0, 0.100000
4, 6, 24.371055, 67.500000, 0.255086, impulse, 0, 0.100000
4, 7, 28.608413, 67.500000, 0.269144, impulse, 0, 0.100000
4, 8, 32.288464, 67.500000, 0.303557, impulse, 0, 0.100000
4, 9, 38.200747, 67.500000, 0.428143, impulse, 0, 0.100000
4, 10, 46.299693, 67.500000, 0.504904, impulse, 0, 0.100000
4, 11, 56.435484, 67.500000, 0.730003, impulse, 0, 0.100000
4, 12, 62.842353, 67.500000, 0.951511, impulse, 0, 0.100000
4, 13, 64.549982, 67.500000, 0.945146, impulse, 0, 0.100000
5, 1, -5.265095, 112.500000, 0.142758, impulse, 0, 0.100000
5, 2, -15.570509, 112.500000, 0.232534, impulse, 0, 0.100000
5, 3, -31.476136, 112.500000, 0.380235, impulse, 0, 0.100000
5, 4, -47.853854, 112.500000, 0.507186, impulse, 0, 0.100000
5, 5, -62.297915, 112.500000, 0.916555, impulse, 0, 0.100000
5, 6, -67.603126, 112.500000, 0.987259, impulse, 0, 0.100000
5, 7, -67.603126, 112.500000, 0.974269, impulse, 0, 0.100000
6, 1, 5.195427, 22.500000, 0.536274, impulse, 0, 0.100000
6, 2, 14.458765, 22.500000, 0.901650, impulse, 0, 0.100000
6, 3, 18.013210, 22.500000, 0.939316, impulse, 0, 0.100000
6, 4, 18.013210, 22.500000, 0.919066, impulse, 0, 0.100000
7, 1, 9.164138, 135.000000, 0.229110, impulse, 0, 0.100000
7, 2, 23.853260, 135.000000, 0.126474, impulse, 0, 0.100000
7, 3, 26.812513, 135.000000, 0.125560, impulse, 0, 0.100000
7, 4, 8.300734, 135.000000, 0.231847, impulse, 0, 0.100000
7, 5, 2.519189, 135.000000, 0.250304, impulse, 0, 0.100000
7, 6, -11.870484, 135.000000, 0.394721, impulse, 0, 0.100000
7, 7, -29.254166, 135.000000, 0.547019, impulse, 0, 0.100000
7, 8, -37.760171, 135.000000, 0.928475, impulse, 0, 0.100000
7, 9, -39.785893, 135.000000, 0.960709, impulse, 0, 0.100000
7, 10, -39.785893, 135.000000, 0.960604, impulse, 0, 0.100000
8, 1, -10.289799, 45.000000, 0.196910, impulse, 0, 0.100000
8, 2, -19.934186, 45.000000, 0.127570, impulse, 0, 0.100000
8, 3, -13.231051, 45.000000, 0.157941, impulse, 0, 0.100000
8, 4, 31.850172, 45.000000, 0.751657, impulse, 0, 0.100000
8, 5, 34.944993, 45.000000, 0.799026, impulse, 0, 0.100000
8, 6, 40.418504, 45.000000, 0.933899, impulse, 0, 0.100000
8, 7, 42.795125, 45.000000, 0.987518, impulse, 0, 0.100000
9, 1, 9.430185, 90.000000, 0.087681, impulse, 0, 0.100000
9, 2, 18.670470, 90.000000, 0.123183, impulse, 0, 0.100000
9, 3, 32.830778, 90.000000, 0.192612, impulse, 0, 0.100000
9, 4, 57.629920, 90.000000, 0.399523, impulse, 0, 0.100000
9, 5, 81.043517, 90.000000, 0.941264, impulse, 0, 0.100000
9, 6, 90.842498, 90.000000, 0.994089, impulse, 0, 0.100000
9, 7, 90.842498, 90.000000, 0.990447, impulse, 0, 0.100000
10, 1, -1.042267, 157.500000, 0.502532, impulse, 0, 0.100000
10, 2, -3.819985, 157.500000, 0.519521, impulse, 0, 0.100000
10, 3, -7.206861, 157.500000, 0.552338, impulse, 0, 0.100000
10, 4, -12.939996, 157.500000, 0.843271, impulse, 0, 0.100000
10, 5, -15.765908, 157.500000, 0.888769, impulse, 0, 0.100000
10, 6, -17.297750, 157.500000, 0.954249, impulse, 0, 0.100000
11, 1, 12.143422, 67.500000, 0.175877, impulse, 0, 0.100000
11, 2, 28.336271, 67.500000, 0.271630, impulse, 0, 0.100000
11, 3, 51.601763, 67.500000, 0.551612, impulse, 0, 0.100000
11, 4, 64.694973, 67.500000, 0.966694, impulse, 0, 0.100000
11, 5, 66.839950, 67.500000, 0.986292, impulse, 0, 0.100000
11, 6, 66.839950, 67.500000, 0.980454, impulse, 0, 0.100000
12, 1, -9.156970, 45.000000, 0.221784, impulse, 0, 0.100000
12, 2, -22.964533, 45.000000, 0.126008, impulse, 0, 0.100000
12, 3, -11.204079, 45.000000, 0.170936, impulse, 0, 0.100000
12, 4, 8.552711, 45.000000, 0.334466, impulse, 0, 0.100000
12, 5, 32.366521, 45.000000, 0.729944, impulse, 0, 0.100000
12, 6, 41.287531, 45.000000, 0.965632, impulse, 0, 0.100000
12, 7, 45.797604, 45.000000, 0.990467, impulse, 0, 0.100000
13, 1, 7.915569, 90.000000, 0.075730, impulse, 0, 0.100000
13, 2, 18.477147, 90.000000, 0.126911, impulse, 0, 0.100000
13, 3, 44.879075, 90.000000, 0.251052, impulse, 0, 0.100000
13, 4, 78.746869, 90.000000, 0.708985, impulse, 0, 0.100000
13, 5, 102.883175, 90.000000, 0.792656, impulse, 0, 0.100000
13, 6, 112.875114, 90.000000, 0.500041, impulse, 0, 0.100000
13, 7, 114.884431, 90.000000, 0.494715, impulse, 0, 0.100000
13, 8, 106.517020, 90.000000, 0.591189, impulse, 0, 0.100000
13, 9, 101.667196, 90.000000, 0.667983, impulse, 0, 0.100000
13, 10, 93.955284, 90.000000, 0.954155, impulse, 0, 0.100000
13, 11, 91.607897, 90.000000, 0.979467, impulse, 0, 0.100000
14, 1, 0.000000, 135.000000, 0.250292, impulse, 0, 0.100000
14, 2, -0.595098, 135.000000, 0.252031, impulse, 0, 0.100000
14, 3, -7.503241, 135.000000, 0.296250, impulse, 0, 0.100000
14, 4, 11.465574, 135.000000, 0.194897, impulse, 0, 0.100000
14, 5, 1.664548, 135.000000, 0.251909, impulse, 0, 0.100000
14, 6, -40.916813, 135.000000, 0.974135, impulse, 0, 0.100000
