trial_num, tr_num, angle, target_angle, score, impulse_response, visible_bool, noise_std
1, 1, -1.437916, 90.000000, 0.063331, impulse, 1, 0.100000
1, 2, -22.844899, 90.000000, 0.126120, impulse, 1, 0.100000
1, 3, -73.226170, 90.000000, 0.518613, impulse, 1, 0.100000
1, 4, -89.997111, 90.000000, 0.996090, impulse, 1, 0.100000
1, 5, -90.059431, 90.000000, 0.995665, impulse, 1, 0.100000
1, 6, -90.059431, 90.000000, 0.996916, impulse, 1, 0.100000
2, 1, -2.053908, 45.000000, 0.249934, impulse, 1, 0.100000
2, 2, -63.860082, 45.000000, 0.124489, impulse, 1, 0.100000
2, 3, -118.352510, 45.000000, 0.555656, impulse, 1, 0.100000
2, 4, -136.285752, 45.000000, 0.991870, impulse, 1, 0.100000
2, 5, -133.715353, 45.000000, 0.985497, impulse, 1, 0.100000
2, 6, -133.628155, 45.000000, 0.988124, impulse, 1, 0.100000
3, 1, 0.000000, 135.000000, 0.252715, impulse, 1, 0.100000
3, 2, -26.757017, 135.000000, 0.507693, impulse, 1, 0.100000
3, 3, -44.673291, 135.000000, 0.992437, impulse, 1, 0.100000
3, 4, -43.547378, 135.000000, 0.993869, impulse, 1, 0.100000
3, 5, -43.547378, 135.000000, 0.990809, impulse, 1, 0.100000
4, 1, 0.000000, 90.000000, 0.063933, impulse, 0, 0.100000
4, 2, 0.000000, 90.000000, 0.064059, impulse, 0, 0.100000
4, 3, 0.000000, 90.000000, 0.063557, impulse, 0, 0.100000
4, 4, 0.000000, 90.000000, 0.063486, impulse, 0, 0.100000
4, 5, -3.384124, 90.000000, 0.065121, impulse, 0, 0.100000
4, 6, -2.300297, 90.000000, 0.064189, impulse, 0, 0.100000
4, 7, -1.511725, 90.000000, 0.063744, impulse, 0, 0.100000
4, 8, 1.494158, 90.000000, 0.063405, impulse, 0, 0.100000
4, 9, 24.372670, 90.000000, 0.126228, impulse, 0, 0.100000
4, 10, 30.395042, 90.000000, 0.149780, impulse, 0, 0.100000
4, 11, 0.748174, 90.000000, 0.063312, impulse, 0, 0.100000
4, 12, 2.251231, 90.000000, 0.066013, impulse, 0, 0.100000
4, 13, -0.177108, 90.000000, 0.063318, impulse, 0, 0.100000
4, 14, 2.611100, 90.000000, 0.064857, impulse, 0, 0.100000
4, 15, 3.005041, 90.000000, 0.064157, impulse, 0, 0.100000
4, 16, 3.005041, 90.000000, 0.064563, impulse, 0, 0.100000
4, 17, 3.005041, 90.000000, 0.065014, impulse, 0, 0.100000
4, 18, 3.005041, 90.000000, 0.063827, impulse, 0, 0.100000
4, 19, 3.005041, 90.000000, 0.065208, impulse, 0, 0.100000
4, 20, 3.005041, 90.000000, 0.064495, impulse, 0, 0.100000
4, 21, 1.558874, 90.000000, 0.064114, impulse, 0, 0.100000
4, 22, -56.461027, 90.000000, 0.349771, impulse, 0, 0.100000
4, 23, -89.654720, 90.000000, 0.992298, impulse, 0, 0.100000
4, 24, -90.085624, 90.000000, 0.996930, impulse, 0, 0.100000
4, 25, -90.085624, 90.000000, 0.990703, impulse, 0, 0.100000
5, 1, 0.000000, 135.000000, 0.250958, impulse, 0, 0.100000
5, 2, 0.000000, 135.000000, 0.250787, impulse, 0, 0.100000
5, 3, -1.727155, 135.000000, 0.253882, impulse, 0, 0.100000
5, 4, -35.581764, 135.000000, 0.851777, impulse, 0, 0.100000
5, 5, -52.024870, 135.000000, 0.954530, impulse, 0, 0.100000
5, 6, -52.550666, 135.000000, 0.903021, impulse, 0, 0.100000
