trs_to_target, target_angle, impulse_response, visible_bool, noise_std
4, 135.000000, impulse, 1, 0.100000
4, 45.000000, impulse, 1, 0.100000
5, 90.000000, impulse, 1, 0.100000
7, 90.000000, impulse, 0, 0.100000
10, 157.500000, impulse, 0, 0.100000
3, 22.500000, impulse, 0, 0.100000
4, 135.000000, impulse, 0, 0.100000
14, 112.500000, impulse, 0, 0.100000
12, 45.000000, impulse, 0, 0.100000
7, 67.500000, impulse, 0, 0.100000
4, 45.000000, impulse, 0, 0.100000
5, 90.000000, impulse, 0, 0.100000
10, 135.000000, impulse, 0, 0.100000
6, 157.500000, impulse, 0, 0.100000
6, 67.500000, impulse, 0, 0.100000
7, 112.500000, impulse, 0, 0.100000
8, 22.500000, impulse, 0, 0.100000
6, 135.000000, hrf, 1, 0.100000
7, 45.000000, hrf, 1, 0.100000
9, 90.000000, hrf, 1, 0.100000
25, 90.000000, hrf, 0, 0.100000
18, 45.000000, hrf, 0, 0.100000
16, 67.500000, hrf, 0, 0.100000
16, 112.500000, hrf, 0, 0.100000
18, 22.500000, hrf, 0, 0.100000
17, 135.000000, hrf, 0, 0.100000
19, 157.500000, hrf, 0, 0.100000
20, 135.000000, hrf, 0, 0.100000
32, 90.000000, hrf, 0, 0.100000
53, 45.000000, hrf, 0, 0.100000
18, 112.500000, hrf, 0, 0.100000
30, 67.500000, hrf, 0, 0.100000
39, 22.500000, hrf, 0, 0.100000
18, 157.500000, hrf, 0, 0.100000
7, 135.000000, blur, 1, 0.100000
21, 45.000000, blur, 1, 0.100000
17, 90.000000, blur, 1, 0.100000
28, 90.000000, blur, 0, 0.100000
15, 135.000000, blur, 0, 0.100000
17, 67.500000, blur, 0, 0.100000
6, 45.000000, blur, 0, 0.100000
5, 22.500000, blur, 0, 0.100000
19, 112.500000, blur, 0, 0.100000
17, 157.500000, blur, 0, 0.100000
54, 90.000000, blur, 0, 0.100000
65, 22.500000, blur, 0, 0.100000
14, 45.000000, blur, 0, 0.100000
15, 112.500000, blur, 0, 0.100000
23, 135.000000, blur, 0, 0.100000
27, 67.500000, blur, 0, 0.100000
51, 157.500000, blur, 0, 0.100000
23, 45.000000, delay, 1, 0.100000
23, 90.000000, delay, 1, 0.100000
25, 135.000000, delay, 1, 0.100000
19, 67.500000, delay, 0, 0.100000
19, 157.500000, delay, 0, 0.100000
13, 45.000000, delay, 0, 0.100000
48, 22.500000, delay, 0, 0.100000
15, 135.000000, delay, 0, 0.100000
24, 112.500000, delay, 0, 0.100000
24, 90.000000, delay, 0, 0.100000
14, 157.500000, delay, 0, 0.100000
16, 112.500000, delay, 0, 0.100000
30, 135.000000, delay, 0, 0.100000
18, 45.000000, delay, 0, 0.100000
19, 90.000000, delay, 0, 0.100000
13, 67.500000, delay, 0, 0.100000
25, 22.500000, delay, 0, 0.100000
