trs_to_target, target_angle, impulse_response, visible_bool, noise_std
5, 135.000000, impulse, 1, 0.100000
7, 90.000000, impulse, 1, 0.100000
4, 45.000000, impulse, 1, 0.100000
7, 135.000000, impulse, 0, 0.100000
7, 112.500000, impulse, 0, 0.100000
8, 157.500000, impulse, 0, 0.100000
4, 45.000000, impulse, 0, 0.100000
7, 90.000000, impulse, 0, 0.100000
10, 22.500000, impulse, 0, 0.100000
7, 67.500000, impulse, 0, 0.100000
9, 90.000000, impulse, 0, 0.100000
9, 45.000000, impulse, 0, 0.100000
11, 135.000000, impulse, 0, 0.100000
7, 22.500000, impulse, 0, 0.100000
10, 112.500000, impulse, 0, 0.100000
8, 157.500000, impulse, 0, 0.100000
5, 67.500000, impulse, 0, 0.100000
7, 90.000000, delay, 1, 0.100000
8, 45.000000, delay, 1, 0.100000
7, 135.000000, delay, 1, 0.100000
82, 67.500000, delay, 0, 0.100000
80, 157.500000, delay, 0, 0.100000
28, 22.500000, delay, 0, 0.100000
34, 45.000000, delay, 0, 0.100000
30, 90.000000, delay, 0, 0.100000
29, 112.500000, delay, 0, 0.100000
7, 135.000000, delay, 0, 0.100000
28, 90.000000, delay, 0, 0.100000
7, 135.000000, delay, 0, 0.100000
28, 112.500000, delay, 0, 0.100000
26, 67.500000, delay, 0, 0.100000
14, 22.500000, delay, 0, 0.100000
27, 157.500000, delay, 0, 0.100000
11, 45.000000, delay, 0, 0.100000
6, 90.000000, blur, 1, 0.100000
6, 135.000000, blur, 1, 0.100000
7, 45.000000, blur, 1, 0.100000
14, 90.000000, blur, 0, 0.100000
30, 22.500000, blur, 0, 0.100000
14, 45.000000, blur, 0, 0.100000
11, 135.000000, blur, 0, 0.100000
32, 112.500000, blur, 0, 0.100000
13, 157.500000, blur, 0, 0.100000
37, 67.500000, blur, 0, 0.100000
23, 67.500000, blur, 0, 0.100000
14, 45.000000, blur, 0, 0.100000
7, 157.500000, blur, 0, 0.100000
16, 90.000000, blur, 0, 0.100000
12, 22.500000, blur, 0, 0.100000
27, 112.500000, blur, 0, 0.100000
8, 135.000000, blur, 0, 0.100000
6, 90.000000, hrf, 1, 0.100000
7, 45.000000, hrf, 1, 0.100000
6, 135.000000, hrf, 1, 0.100000
28, 112.500000, hrf, 0, 0.100000
12, 45.000000, hrf, 0, 0.100000
37, 90.000000, hrf, 0, 0.100000
22, 135.000000, hrf, 0, 0.100000
7, 157.500000, hrf, 0, 0.100000
29, 22.500000, hrf, 0, 0.100000
8, 67.500000, hrf, 0, 0.100000
22, 157.500000, hrf, 0, 0.100000
21, 90.000000, hrf, 0, 0.100000
20, 67.500000, hrf, 0, 0.100000
20, 135.000000, hrf, 0, 0.100000
16, 112.500000, hrf, 0, 0.100000
16, 22.500000, hrf, 0, 0.100000
40, 45.000000, hrf, 0, 0.100000
