trs_to_target, target_angle, impulse_response, visible_bool, noise_std
4, 135.000000, impulse, 1, 0.100000
5, 45.000000, impulse, 1, 0.100000
5, 90.000000, impulse, 1, 0.100000
53, 157.500000, impulse, 0, 0.100000
73, 22.500000, impulse, 0, 0.100000
41, 90.000000, impulse, 0, 0.100000
26, 112.500000, impulse, 0, 0.100000
15, 45.000000, impulse, 0, 0.100000
13, 135.000000, impulse, 0, 0.100000
15, 67.500000, impulse, 0, 0.100000
5, 135.000000, impulse, 0, 0.100000
14, 112.500000, impulse, 0, 0.100000
12, 90.000000, impulse, 0, 0.100000
16, 22.500000, impulse, 0, 0.100000
5, 157.500000, impulse, 0, 0.100000
11, 67.500000, impulse, 0, 0.100000
11, 45.000000, impulse, 0, 0.100000
39, 90.000000, delay, 1, 0.100000
8, 45.000000, delay, 1, 0.100000
14, 135.000000, delay, 1, 0.100000
92, 90.000000, delay, 0, 0.100000
70, 67.500000, delay, 0, 0.100000
15, 157.500000, delay, 0, 0.100000
66, 112.500000, delay, 0, 0.100000
31, 45.000000, delay, 0, 0.100000
26, 22.500000, delay, 0, 0.100000
12, 135.000000, delay, 0, 0.100000
40, 112.500000, delay, 0, 0.100000
18, 157.500000, delay, 0, 0.100000
33, 135.000000, delay, 0, 0.100000
20, 90.000000, delay, 0, 0.100000
23, 22.500000, delay, 0, 0.100000
41, 67.500000, delay, 0, 0.100000
20, 45.000000, delay, 0, 0.100000
17, 90.000000, blur, 1, 0.100000
12, 135.000000, blur, 1, 0.100000
13, 45.000000, blur, 1, 0.100000
28, 90.000000, blur, 0, 0.100000
11, 22.500000, blur, 0, 0.100000
12, 157.500000, blur, 0, 0.100000
33, 45.000000, blur, 0, 0.100000
12, 135.000000, blur, 0, 0.100000
21, 67.500000, blur, 0, 0.100000
14, 112.500000, blur, 0, 0.100000
22, 157.500000, blur, 0, 0.100000
16, 67.500000, blur, 0, 0.100000
19, 22.500000, blur, 0, 0.100000
16, 45.000000, blur, 0, 0.100000
18, 90.000000, blur, 0, 0.100000
22, 112.500000, blur, 0, 0.100000
29, 135.000000, blur, 0, 0.100000
11, 135.000000, hrf, 1, 0.100000
10, 45.000000, hrf, 1, 0.100000
24, 90.000000, hrf, 1, 0.100000
27, 90.000000, hrf, 0, 0.100000
14, 157.500000, hrf, 0, 0.100000
11, 45.000000, hrf, 0, 0.100000
28, 112.500000, hrf, 0, 0.100000
26, 135.000000, hrf, 0, 0.100000
27, 67.500000, hrf, 0, 0.100000
24, 22.500000, hrf, 0, 0.100000
35, 45.000000, hrf, 0, 0.100000
20, 135.000000, hrf, 0, 0.100000
31, 157.500000, hrf, 0, 0.100000
12, 22.500000, hrf, 0, 0.100000
33, 112.500000, hrf, 0, 0.100000
30, 67.500000, hrf, 0, 0.100000
21, 90.000000, hrf, 0, 0.100000
