trs_to_target, target_angle, impulse_response, visible_bool, noise_std
4, 135.000000, impulse, 1, 0.100000
3, 45.000000, impulse, 1, 0.100000
5, 90.000000, impulse, 1, 0.100000
17, 112.500000, impulse, 0, 0.100000
35, 45.000000, impulse, 0, 0.100000
6, 135.000000, impulse, 0, 0.100000
9, 157.500000, impulse, 0, 0.100000
16, 22.500000, impulse, 0, 0.100000
12, 90.000000, impulse, 0, 0.100000
8, 67.500000, impulse, 0, 0.100000
21, 67.500000, impulse, 0, 0.100000
9, 135.000000, impulse, 0, 0.100000
10, 45.000000, impulse, 0, 0.100000
25, 157.500000, impulse, 0, 0.100000
13, 22.500000, impulse, 0, 0.100000
14, 90.000000, impulse, 0, 0.100000
21, 112.500000, impulse, 0, 0.100000
6, 135.000000, blur, 1, 0.100000
6, 90.000000, blur, 1, 0.100000
6, 45.000000, blur, 1, 0.100000
18, 67.500000, blur, 0, 0.100000
30, 135.000000, blur, 0, 0.100000
27, 157.500000, blur, 0, 0.100000
33, 112.500000, blur, 0, 0.100000
26, 22.500000, blur, 0, 0.100000
20, 90.000000, blur, 0, 0.100000
20, 45.000000, blur, 0, 0.100000
14, 135.000000, blur, 0, 0.100000
53, 45.000000, blur, 0, 0.100000
47, 67.500000, blur, 0, 0.100000
33, 112.500000, blur, 0, 0.100000
17, 22.500000, blur, 0, 0.100000
9, 90.000000, blur, 0, 0.100000
9, 157.500000, blur, 0, 0.100000
7, 90.000000, hrf, 1, 0.100000
5, 135.000000, hrf, 1, 0.100000
33, 45.000000, hrf, 1, 0.100000
44, 135.000000, hrf, 0, 0.100000
21, 112.500000, hrf, 0, 0.100000
50, 67.500000, hrf, 0, 0.100000
33, 22.500000, hrf, 0, 0.100000
32, 157.500000, hrf, 0, 0.100000
18, 90.000000, hrf, 0, 0.100000
30, 45.000000, hrf, 0, 0.100000
35, 45.000000, hrf, 0, 0.100000
49, 90.000000, hrf, 0, 0.100000
24, 157.500000, hrf, 0, 0.100000
25, 135.000000, hrf, 0, 0.100000
11, 22.500000, hrf, 0, 0.100000
26, 112.500000, hrf, 0, 0.100000
27, 67.500000, hrf, 0, 0.100000
22, 45.000000, delay, 1, 0.100000
7, 135.000000, delay, 1, 0.100000
7, 90.000000, delay, 1, 0.100000
43, 22.500000, delay, 0, 0.100000
28, 45.000000, delay, 0, 0.100000
13, 90.000000, delay, 0, 0.100000
34, 135.000000, delay, 0, 0.100000
37, 67.500000, delay, 0, 0.100000
29, 157.500000, delay, 0, 0.100000
56, 112.500000, delay, 0, 0.100000
8, 157.500000, delay, 0, 0.100000
94, 90.000000, delay, 0, 0.100000
26, 67.500000, delay, 0, 0.100000
25, 22.500000, delay, 0, 0.100000
38, 45.000000, delay, 0, 0.100000
63, 112.500000, delay, 0, 0.100000
22, 135.000000, delay, 0, 0.100000
