trial_num, tr_num, angle, target_angle, score, impulse_response, visible_bool, noise_std
1, 1, 7.974779, 45.000000, 0.285117, impulse, 1, 0.100000
1, 2, 42.535954, 45.000000, 0.985099, impulse, 1, 0.100000
1, 3, 45.156635, 45.000000, 0.994980, impulse, 1, 0.100000
1, 4, 45.061896, 45.000000, 0.987127, impulse, 1, 0.100000
2, 1, -5.207031, 135.000000, 0.256337, impulse, 1, 0.100000
2, 2, -43.536076, 135.000000, 0.983306, impulse, 1, 0.100000
2, 3, -44.296543, 135.000000, 0.992833, impulse, 1, 0.100000
2, 4, -44.296543, 135.000000, 0.994436, impulse, 1, 0.100000
3, 1, 25.607638, 90.000000, 0.126869, impulse, 1, 0.100000
3, 2, 83.833421, 90.000000, 0.970280, impulse, 1, 0.100000
3, 3, 78.099104, 90.000000, 0.790811, impulse, 1, 0.100000
3, 4, 68.712846, 90.000000, 0.505064, impulse, 1, 0.100000
3, 5, 56.604003, 90.000000, 0.352051, impulse, 1, 0.100000
3, 6, 67.452540, 90.000000, 0.504717, impulse, 1, 0.100000
3, 7, 73.884245, 90.000000, 0.549913, impulse, 1, 0.100000
3, 8, 84.012162, 90.000000, 0.981260, impulse, 1, 0.100000
3, 9, 89.355509, 90.000000, 0.993601, impulse, 1, 0.100000
3, 10, 89.355509, 90.000000, 0.995668, impulse, 1, 0.100000
4, 1, 3.353122, 67.500000, 0.128125, impulse, 0, 0.100000
4, 2, 31.386061, 67.500000, 0.301860, impulse, 0, 0.100000
4, 3, 56.867401, 67.500000, 0.791339, impulse, 0, 0.100000
4, 4, 65.832893, 67.500000, 0.966901, impulse, 0, 0.100000
4, 5, 69.801947, 67.500000, 0.981321, impulse, 0, 0.100000
5, 1, 1.892754, 22.500000, 0.507418, impulse, 0, 0.100000
5, 2, 25.462150, 22.500000, 0.976653, impulse, 0, 0.100000
5, 3, 28.523763, 22.500000, 0.953169, impulse, 0, 0.100000
5, 4, 28.523763, 22.500000, 0.942389, impulse, 0, 0.100000
6, 1, 11.443437, 112.500000, 0.108034, impulse, 0, 0.100000
6, 2, 50.022666, 112.500000, 0.137280, impulse, 0, 0.100000
6, 3, 63.199889, 112.500000, 0.250053, impulse, 0, 0.100000
6, 4, 77.630743, 112.500000, 0.381376, impulse, 0, 0.100000
6, 5, 89.868704, 112.500000, 0.501032, impulse, 0, 0.100000
6, 6, 99.952855, 112.500000, 0.639868, impulse, 0, 0.100000
6, 7, 110.145397, 112.500000, 0.988443, impulse, 0, 0.100000
6, 8, 115.623843, 112.500000, 0.978287, impulse, 0, 0.100000
7, 1, 13.424287, 90.000000, 0.115159, impulse, 0, 0.100000
7, 2, 45.250964, 90.000000, 0.252058, impulse, 0, 0.100000
7, 3, 86.904842, 90.000000, 0.989577, impulse, 0, 0.100000
7, 4, 112.614901, 90.000000, 0.500623, impulse, 0, 0.100000
7, 5, 107.977359, 90.000000, 0.535737, impulse, 0, 0.100000
7, 6, 102.851329, 90.000000, 0.696699, impulse, 0, 0.100000
7, 7, 99.186463, 90.000000, 0.938262, impulse, 0, 0.100000
7, 8, 96.085339, 90.000000, 0.959173, impulse, 0, 0.100000
8, 1, 13.472122, 135.000000, 0.156690, impulse, 0, 0.100000
8, 2, 39.196974, 135.000000, 0.076937, impulse, 0, 0.100000
8, 3, 34.910067, 135.000000, 0.092844, impulse, 0, 0.100000
8, 4, 18.849862, 135.000000, 0.129149, impulse, 0, 0.100000
8, 5, 37.136586, 135.000000, 0.075819, impulse, 0, 0.100000
8, 6, 73.226994, 135.000000, 0.134609, impulse, 0, 0.100000
8, 7, 117.071449, 135.000000, 0.532057, impulse, 0, 0.100000
8, 8, 143.387828, 135.000000, 0.915155, impulse, 0, 0.100000
8, 9, 150.887435, 135.000000, 0.546332, impulse, 0, 0.100000
8, 10, 147.229611, 135.000000, 0.617358, impulse, 0, 0.100000
8, 11, 135.667516, 135.000000, 0.992593, impulse, 0, 0.100000
8, 12, 130.636424, 135.000000, 0.988620, impulse, 0, 0.100000
9, 1, 5.507717, 45.000000, 0.269682, impulse, 0, 0.100000
9, 2, 31.924452, 45.000000, 0.720936, impulse, 0, 0.100000
9, 3, 52.514542, 45.000000, 0.890387, impulse, 0, 0.100000
9, 4, 56.293961, 45.000000, 0.773364, impulse, 0, 0.100000
9, 5, 54.018297, 45.000000, 0.828587, impulse, 0, 0.100000
9, 6, 50.684966, 45.000000, 0.930374, impulse, 0, 0.100000
9, 7, 48.025977, 45.000000, 0.981394, impulse, 0, 0.100000
10, 1, -1.566946, 157.500000, 0.501068, impulse, 0, 0.100000
10, 2, -13.985897, 157.500000, 0.856304, impulse, 0, 0.100000
10, 3, -15.769247, 157.500000, 0.943990, impulse, 0, 0.100000
10, 4, -15.769247, 157.500000, 0.855444, impulse, 0, 0.100000
11, 1, -8.555383, 22.500000, 0.483202, impulse, 0, 0.100000
11, 2, -21.371178, 22.500000, 0.253255, impulse, 0, 0.100000
11, 3, -13.890900, 22.500000, 0.329293, impulse, 0, 0.100000
11, 4, -6.480282, 22.500000, 0.494177, impulse, 0, 0.100000
11, 5, -13.125566, 22.500000, 0.342700, impulse, 0, 0.100000
11, 6, -23.294012, 22.500000, 0.250726, impulse, 0, 0.100000
11, 7, -45.272819, 22.500000, 0.125176, impulse, 0, 0.100000
11, 8, -78.377487, 22.500000, 0.110583, impulse, 0, 0.100000
11, 9, -140.604344, 22.500000, 0.523757, impulse, 0, 0.100000
11, 10, -184.498360, 22.500000, 0.490128, impulse, 0, 0.100000
11, 11, -178.653113, 22.500000, 0.502416, impulse, 0, 0.100000
11, 12, -173.079652, 22.500000, 0.533970, impulse, 0, 0.100000
11, 13, -196.446119, 22.500000, 0.293237, impulse, 0, 0.100000
11, 14, -196.682827, 22.500000, 0.268369, impulse, 0, 0.100000
11, 15, -179.776285, 22.500000, 0.500602, impulse, 0, 0.100000
11, 16, -171.704234, 22.500000, 0.570225, impulse, 0, 0.100000
11, 17, -163.853454, 22.500000, 0.931339, impulse, 0, 0.100000
11, 18, -161.441615, 22.500000, 0.936964, impulse, 0, 0.100000
11, 19, -161.441615, 22.500000, 0.955180, impulse, 0, 0.100000
12, 1, -11.893847, 135.000000, 0.410275, impulse, 0, 0.100000
12, 2, -21.596662, 135.000000, 0.502730, impulse, 0, 0.100000
12, 3, -32.396613, 135.000000, 0.703984, impulse, 0, 0.100000
12, 4, -41.239955, 135.000000, 0.977423, impulse, 0, 0.100000
12, 5, -46.535166, 135.000000, 0.988576, impulse, 0, 0.100000
13, 1, 11.992089, 112.500000, 0.110039, impulse, 0, 0.100000
13, 2, 32.453488, 112.500000, 0.090332, impulse, 0, 0.100000
13, 3, 58.654299, 112.500000, 0.216746, impulse, 0, 0.100000
13, 4, 86.049310, 112.500000, 0.498509, impulse, 0, 0.100000
13, 5, 101.564193, 112.500000, 0.754506, impulse, 0, 0.100000
13, 6, 116.343000, 112.500000, 0.933526, impulse, 0, 0.100000
13, 7, 120.128805, 112.500000, 0.761298, impulse, 0, 0.100000
13, 8, 115.863104, 112.500000, 0.951331, impulse, 0, 0.100000
14, 1, -8.530751, 67.500000, 0.105209, impulse, 0, 0.100000
14, 2, -26.356336, 67.500000, 0.067208, impulse, 0, 0.100000
14, 3, -49.934223, 67.500000, 0.128728, impulse, 0, 0.100000
14, 4, -78.357093, 67.500000, 0.374779, impulse, 0, 0.100000
14, 5, -97.164112, 67.500000, 0.530754, impulse, 0, 0.100000
14, 6, -118.335271, 67.500000, 0.939548, impulse, 0, 0.100000
14, 7, -123.110609, 67.500000, 0.792457, impulse, 0, 0.100000
14, 8, -120.064869, 67.500000, 0.886414, impulse, 0, 0.100000
15, 1, -10.882334, 157.500000, 0.721898, impulse, 0, 0.100000
15, 2, -16.419503, 157.500000, 0.946190, impulse, 0, 0.100000
15, 3, -12.756061, 157.500000, 0.811035, impulse, 0, 0.100000
15, 4, -14.119454, 157.500000, 0.855175, impulse, 0, 0.100000
16, 1, 4.862956, 90.000000, 0.066350, impulse, 0, 0.100000
16, 2, 35.145242, 90.000000, 0.205753, impulse, 0, 0.100000
16, 3, 59.307623, 90.000000, 0.457379, impulse, 0, 0.100000
16, 4, 71.913800, 90.000000, 0.521089, impulse, 0, 0.100000
16, 5, 75.835789, 90.000000, 0.724911, impulse, 0, 0.100000
16, 6, 76.249024, 90.000000, 0.691503, impulse, 0, 0.100000
16, 7, 85.592228, 90.000000, 0.987126, impulse, 0, 0.100000
16, 8, 85.598482, 90.000000, 0.985109, impulse, 0, 0.100000
17, 1, -13.040546, 45.000000, 0.178267, impulse, 0, 0.100000
17, 2, -29.770843, 45.000000, 0.122051, impulse, 0, 0.100000
17, 3, -54.174098, 45.000000, 0.082547, impulse, 0, 0.100000
17, 4, -83.062744, 45.000000, 0.247358, impulse, 0, 0.100000
17, 5, -121.486824, 45.000000, 0.620920, impulse, 0, 0.100000
17, 6, -143.368933, 45.000000, 0.904882, impulse, 0, 0.100000
17, 7, -144.915278, 45.000000, 0.794766, impulse, 0, 0.100000
17, 8, -143.875585, 45.000000, 0.867814, impulse, 0, 0.100000
18, 1, 2.559677, 90.000000, 0.438542, delay, 1, 0.100000
18, 2, 47.161157, 90.000000, 0.579531, delay, 1, 0.100000
18, 3, 60.829553, 90.000000, 0.135530, delay, 1, 0.100000
18, 4, 71.301828, 90.000000, 0.064610, delay, 1, 0.100000
18, 5, 71.872131, 90.000000, 0.254669, delay, 1, 0.100000
18, 6, 84.759161, 90.000000, 0.479192, delay, 1, 0.100000
18, 7, 84.821620, 90.000000, 0.521349, delay, 1, 0.100000
18, 8, 84.821620, 90.000000, 0.579744, delay, 1, 0.100000
18, 9, 84.821620, 90.000000, 0.950546, delay, 1, 0.100000
18, 10, 84.821620, 90.000000, 0.959818, delay, 1, 0.100000
18, 11, 75.569308, 90.000000, 0.984943, delay, 1, 0.100000
19, 1, 0.018872, 45.000000, 0.687295, delay, 1, 0.100000
19, 2, 12.755554, 45.000000, 0.280343, delay, 1, 0.100000
19, 3, 13.505497, 45.000000, 0.243934, delay, 1, 0.100000
19, 4, 13.505497, 45.000000, 0.250983, delay, 1, 0.100000
19, 5, 15.288690, 45.000000, 0.368659, delay, 1, 0.100000
19, 6, 21.013657, 45.000000, 0.433023, delay, 1, 0.100000
19, 7, 21.013657, 45.000000, 0.404015, delay, 1, 0.100000
19, 8, 1.025815, 45.000000, 0.446804, delay, 1, 0.100000
19, 9, -5.890417, 45.000000, 0.498835, delay, 1, 0.100000
19, 10, -14.136430, 45.000000, 0.500080, delay, 1, 0.100000
19, 11, -20.260687, 45.000000, 0.251543, delay, 1, 0.100000
19, 12, -20.260687, 45.000000, 0.246595, delay, 1, 0.100000
19, 13, -20.260687, 45.000000, 0.156653, delay, 1, 0.100000
19, 14, -26.038523, 45.000000, 0.126402, delay, 1, 0.100000
19, 15, -45.025806, 45.000000, 0.131941, delay, 1, 0.100000
19, 16, -68.478366, 45.000000, 0.128009, delay, 1, 0.100000
19, 17, -92.327648, 45.000000, 0.123924, delay, 1, 0.100000
19, 18, -92.553038, 45.000000, 0.064121, delay, 1, 0.100000
19, 19, -128.336327, 45.000000, 0.128047, delay, 1, 0.100000
19, 20, -137.384923, 45.000000, 0.251299, delay, 1, 0.100000
19, 21, -137.384923, 45.000000, 0.251251, delay, 1, 0.100000
19, 22, -137.384923, 45.000000, 0.956146, delay, 1, 0.100000
19, 23, -137.384923, 45.000000, 0.989256, delay, 1, 0.100000
19, 24, -137.384923, 45.000000, 0.977260, delay, 1, 0.100000
20, 1, 0.000000, 135.000000, 0.482087, delay, 1, 0.100000
20, 2, -28.125564, 135.000000, 0.392129, delay, 1, 0.100000
20, 3, -43.551240, 135.000000, 0.146931, delay, 1, 0.100000
20, 4, -43.551240, 135.000000, 0.250308, delay, 1, 0.100000
20, 5, -43.551240, 135.000000, 0.521664, delay, 1, 0.100000
20, 6, -43.551240, 135.000000, 0.991007, delay, 1, 0.100000
20, 7, -43.551240, 135.000000, 0.991452, delay, 1, 0.100000
20, 8, -43.551240, 135.000000, 0.996427, delay, 1, 0.100000
21, 1, 0.000000, 157.500000, 0.136846, delay, 0, 0.100000
21, 2, 17.971027, 157.500000, 0.111346, delay, 0, 0.100000
21, 3, 21.038099, 157.500000, 0.444505, delay, 0, 0.100000
21, 4, 21.038099, 157.500000, 0.500811, delay, 0, 0.100000
21, 5, 21.038099, 157.500000, 0.263323, delay, 0, 0.100000
21, 6, 21.038099, 157.500000, 0.252169, delay, 0, 0.100000
21, 7, 21.038099, 157.500000, 0.254238, delay, 0, 0.100000
21, 8, 18.577648, 157.500000, 0.255359, delay, 0, 0.100000
21, 9, 9.776029, 157.500000, 0.251953, delay, 0, 0.100000
21, 10, 9.682123, 157.500000, 0.253128, delay, 0, 0.100000
21, 11, 5.282979, 157.500000, 0.264126, delay, 0, 0.100000
21, 12, 5.282979, 157.500000, 0.424311, delay, 0, 0.100000
21, 13, 5.282979, 157.500000, 0.415528, delay, 0, 0.100000
21, 14, 5.282979, 157.500000, 0.487162, delay, 0, 0.100000
21, 15, 5.282979, 157.500000, 0.493995, delay, 0, 0.100000
21, 16, 5.282979, 157.500000, 0.480760, delay, 0, 0.100000
21, 17, 10.670608, 157.500000, 0.490080, delay, 0, 0.100000
21, 18, 12.017124, 157.500000, 0.496264, delay, 0, 0.100000
21, 19, 12.017124, 157.500000, 0.507613, delay, 0, 0.100000
21, 20, 12.017124, 157.500000, 0.364013, delay, 0, 0.100000
21, 21, 29.286245, 157.500000, 0.392838, delay, 0, 0.100000
21, 22, 48.057446, 157.500000, 0.360591, delay, 0, 0.100000
21, 23, 48.057446, 157.500000, 0.380592, delay, 0, 0.100000
21, 24, 48.057446, 157.500000, 0.233191, delay, 0, 0.100000
21, 25, 55.829326, 157.500000, 0.127121, delay, 0, 0.100000
21, 26, 65.328584, 157.500000, 0.125034, delay, 0, 0.100000
21, 27, 65.328584, 157.500000, 0.126622, delay, 0, 0.100000
21, 28, 66.519309, 157.500000, 0.098286, delay, 0, 0.100000
21, 29, 102.683055, 157.500000, 0.067277, delay, 0, 0.100000
21, 30, 106.621141, 157.500000, 0.070721, delay, 0, 0.100000
21, 31, 106.621141, 157.500000, 0.064952, delay, 0, 0.100000
21, 32, 106.621141, 157.500000, 0.236525, delay, 0, 0.100000
21, 33, 106.902540, 157.500000, 0.236426, delay, 0, 0.100000
