trs_to_target, target_angle, impulse_response, visible_bool, noise_std
5, 90.000000, impulse, 1, 0.100000
4, 45.000000, impulse, 1, 0.100000
4, 135.000000, impulse, 1, 0.100000
11, 22.500000, impulse, 0, 0.100000
8, 157.500000, impulse, 0, 0.100000
12, 135.000000, impulse, 0, 0.100000
10, 45.000000, impulse, 0, 0.100000
11, 112.500000, impulse, 0, 0.100000
14, 67.500000, impulse, 0, 0.100000
12, 90.000000, impulse, 0, 0.100000
12, 67.500000, impulse, 0, 0.100000
12, 45.000000, impulse, 0, 0.100000
10, 157.500000, impulse, 0, 0.100000
11, 135.000000, impulse, 0, 0.100000
9, 90.000000, impulse, 0, 0.100000
7, 112.500000, impulse, 0, 0.100000
4, 22.500000, impulse, 0, 0.100000
6, 90.000000, blur, 1, 0.100000
3, 135.000000, blur, 1, 0.100000
6, 45.000000, blur, 1, 0.100000
17, 67.500000, blur, 0, 0.100000
10, 22.500000, blur, 0, 0.100000
12, 90.000000, blur, 0, 0.100000
13, 157.500000, blur, 0, 0.100000
25, 135.000000, blur, 0, 0.100000
30, 112.500000, blur, 0, 0.100000
22, 45.000000, blur, 0, 0.100000
11, 157.500000, blur, 0, 0.100000
12, 45.000000, blur, 0, 0.100000
23, 67.500000, blur, 0, 0.100000
17, 112.500000, blur, 0, 0.100000
25, 90.000000, blur, 0, 0.100000
21, 135.000000, blur, 0, 0.100000
14, 22.500000, blur, 0, 0.100000
8, 90.000000, delay, 1, 0.100000
7, 135.000000, delay, 1, 0.100000
8, 45.000000, delay, 1, 0.100000
35, 157.500000, delay, 0, 0.100000
19, 45.000000, delay, 0, 0.100000
41, 67.500000, delay, 0, 0.100000
51, 90.000000, delay, 0, 0.100000
20, 22.500000, delay, 0, 0.100000
33, 135.000000, delay, 0, 0.100000
36, 112.500000, delay, 0, 0.100000
37, 45.000000, delay, 0, 0.100000
22, 135.000000, delay, 0, 0.100000
19, 112.500000, delay, 0, 0.100000
37, 67.500000, delay, 0, 0.100000
7, 22.500000, delay, 0, 0.100000
29, 90.000000, delay, 0, 0.100000
10, 157.500000, delay, 0, 0.100000
10, 135.000000, hrf, 1, 0.100000
7, 45.000000, hrf, 1, 0.100000
7, 90.000000, hrf, 1, 0.100000
10, 67.500000, hrf, 0, 0.100000
13, 112.500000, hrf, 0, 0.100000
40, 90.000000, hrf, 0, 0.100000
49, 135.000000, hrf, 0, 0.100000
9, 157.500000, hrf, 0, 0.100000
15, 22.500000, hrf, 0, 0.100000
12, 45.000000, hrf, 0, 0.100000
43, 67.500000, hrf, 0, 0.100000
14, 22.500000, hrf, 0, 0.100000
29, 90.000000, hrf, 0, 0.100000
11, 135.000000, hrf, 0, 0.100000
29, 112.500000, hrf, 0, 0.100000
16, 45.000000, hrf, 0, 0.100000
27, 157.500000, hrf, 0, 0.100000
