trs_to_target, target_angle, impulse_response, visible_bool, noise_std
4, 90.000000, impulse, 1, 0.100000
5, 135.000000, impulse, 1, 0.100000
4, 45.000000, impulse, 1, 0.100000
20, 135.000000, impulse, 0, 0.100000
15, 22.500000, impulse, 0, 0.100000
7, 90.000000, impulse, 0, 0.100000
9, 67.500000, impulse, 0, 0.100000
5, 112.500000, impulse, 0, 0.100000
6, 45.000000, impulse, 0, 0.100000
12, 157.500000, impulse, 0, 0.100000
10, 135.000000, impulse, 0, 0.100000
6, 90.000000, impulse, 0, 0.100000
7, 112.500000, impulse, 0, 0.100000
7, 67.500000, impulse, 0, 0.100000
8, 22.500000, impulse, 0, 0.100000
5, 45.000000, impulse, 0, 0.100000
10, 157.500000, impulse, 0, 0.100000
6, 135.000000, blur, 1, 0.100000
6, 45.000000, blur, 1, 0.100000
6, 90.000000, blur, 1, 0.100000
15, 157.500000, blur, 0, 0.100000
15, 135.000000, blur, 0, 0.100000
37, 67.500000, blur, 0, 0.100000
26, 112.500000, blur, 0, 0.100000
30, 22.500000, blur, 0, 0.100000
13, 90.000000, blur, 0, 0.100000
5, 45.000000, blur, 0, 0.100000
12, 90.000000, blur, 0, 0.100000
18, 22.500000, blur, 0, 0.100000
28, 112.500000, blur, 0, 0.100000
21, 157.500000, blur, 0, 0.100000
13, 135.000000, blur, 0, 0.100000
17, 45.000000, blur, 0, 0.100000
20, 67.500000, blur, 0, 0.100000
7, 45.000000, delay, 1, 0.100000
13, 90.000000, delay, 1, 0.100000
7, 135.000000, delay, 1, 0.100000
29, 135.000000, delay, 0, 0.100000
28, 67.500000, delay, 0, 0.100000
20, 90.000000, delay, 0, 0.100000
18, 22.500000, delay, 0, 0.100000
44, 157.500000, delay, 0, 0.100000
29, 45.000000, delay, 0, 0.100000
23, 112.500000, delay, 0, 0.100000
12, 157.500000, delay, 0, 0.100000
12, 22.500000, delay, 0, 0.100000
20, 135.000000, delay, 0, 0.100000
14, 45.000000, delay, 0, 0.100000
38, 112.500000, delay, 0, 0.100000
27, 90.000000, delay, 0, 0.100000
34, 67.500000, delay, 0, 0.100000
6, 135.000000, hrf, 1, 0.100000
6, 90.000000, hrf, 1, 0.100000
9, 45.000000, hrf, 1, 0.100000
28, 157.500000, hrf, 0, 0.100000
10, 22.500000, hrf, 0, 0.100000
17, 135.000000, hrf, 0, 0.100000
23, 112.500000, hrf, 0, 0.100000
12, 67.500000, hrf, 0, 0.100000
19, 45.000000, hrf, 0, 0.100000
11, 90.000000, hrf, 0, 0.100000
18, 45.000000, hrf, 0, 0.100000
15, 157.500000, hrf, 0, 0.100000
12, 22.500000, hrf, 0, 0.100000
14, 135.000000, hrf, 0, 0.100000
25, 67.500000, hrf, 0, 0.100000
24, 112.500000, hrf, 0, 0.100000
11, 90.000000, hrf, 0, 0.100000
