trs_to_target, target_angle, impulse_response, visible_bool, noise_std
5, 135.000000, impulse, 1, 0.100000
4, 45.000000, impulse, 1, 0.100000
4, 90.000000, impulse, 1, 0.100000
23, 90.000000, impulse, 0, 0.100000
12, 112.500000, impulse, 0, 0.100000
16, 67.500000, impulse, 0, 0.100000
8, 135.000000, impulse, 0, 0.100000
5, 22.500000, impulse, 0, 0.100000
5, 157.500000, impulse, 0, 0.100000
7, 45.000000, impulse, 0, 0.100000
9, 90.000000, impulse, 0, 0.100000
7, 45.000000, impulse, 0, 0.100000
7, 135.000000, impulse, 0, 0.100000
5, 22.500000, impulse, 0, 0.100000
15, 67.500000, impulse, 0, 0.100000
15, 112.500000, impulse, 0, 0.100000
4, 157.500000, impulse, 0, 0.100000
7, 90.000000, hrf, 1, 0.100000
6, 135.000000, hrf, 1, 0.100000
5, 45.000000, hrf, 1, 0.100000
35, 112.500000, hrf, 0, 0.100000
15, 90.000000, hrf, 0, 0.100000
81, 22.500000, hrf, 0, 0.100000
72, 67.500000, hrf, 0, 0.100000
15, 45.000000, hrf, 0, 0.100000
15, 157.500000, hrf, 0, 0.100000
73, 135.000000, hrf, 0, 0.100000
23, 135.000000, hrf, 0, 0.100000
16, 90.000000, hrf, 0, 0.100000
20, 22.500000, hrf, 0, 0.100000
21, 112.500000, hrf, 0, 0.100000
33, 157.500000, hrf, 0, 0.100000
52, 67.500000, hrf, 0, 0.100000
35, 45.000000, hrf, 0, 0.100000
8, 90.000000, delay, 1, 0.100000
7, 45.000000, delay, 1, 0.100000
7, 135.000000, delay, 1, 0.100000
43, 45.000000, delay, 0, 0.100000
21, 90.000000, delay, 0, 0.100000
55, 67.500000, delay, 0, 0.100000
24, 112.500000, delay, 0, 0.100000
26, 22.500000, delay, 0, 0.100000
25, 157.500000, delay, 0, 0.100000
21, 135.000000, delay, 0, 0.100000
45, 45.000000, delay, 0, 0.100000
14, 112.500000, delay, 0, 0.100000
10, 157.500000, delay, 0, 0.100000
24, 90.000000, delay, 0, 0.100000
19, 135.000000, delay, 0, 0.100000
19, 22.500000, delay, 0, 0.100000
22, 67.500000, delay, 0, 0.100000
5, 135.000000, blur, 1, 0.100000
8, 90.000000, blur, 1, 0.100000
6, 45.000000, blur, 1, 0.100000
25, 157.500000, blur, 0, 0.100000
19, 112.500000, blur, 0, 0.100000
19, 90.000000, blur, 0, 0.100000
14, 45.000000, blur, 0, 0.100000
17, 135.000000, blur, 0, 0.100000
14, 22.500000, blur, 0, 0.100000
21, 67.500000, blur, 0, 0.100000
15, 90.000000, blur, 0, 0.100000
13, 157.500000, blur, 0, 0.100000
12, 45.000000, blur, 0, 0.100000
12, 135.000000, blur, 0, 0.100000
17, 22.500000, blur, 0, 0.100000
41, 112.500000, blur, 0, 0.100000
44, 67.500000, blur, 0, 0.100000
