trial_num, tr_num, angle, target_angle, score, impulse_response, visible_bool, noise_std
1, 1, -1.483798, 90.000000, 0.064281, impulse, 1, 0.100000
1, 2, -66.725978, 90.000000, 0.500836, impulse, 1, 0.100000
1, 3, -89.148562, 90.000000, 0.988332, impulse, 1, 0.100000
1, 4, -96.149399, 90.000000, 0.958346, impulse, 1, 0.100000
1, 5, -97.556715, 90.000000, 0.934426, impulse, 1, 0.100000
2, 1, -28.419579, 135.000000, 0.553262, impulse, 1, 0.100000
2, 2, -45.159687, 135.000000, 0.994684, impulse, 1, 0.100000
2, 3, -50.203355, 135.000000, 0.954865, impulse, 1, 0.100000
2, 4, -47.050043, 135.000000, 0.992006, impulse, 1, 0.100000
3, 1, 10.016732, 45.000000, 0.320727, impulse, 1, 0.100000
3, 2, 40.769791, 45.000000, 0.961964, impulse, 1, 0.100000
3, 3, 47.987002, 45.000000, 0.961798, impulse, 1, 0.100000
3, 4, 46.593947, 45.000000, 0.974883, impulse, 1, 0.100000
4, 1, 0.000000, 22.500000, 0.499697, impulse, 0, 0.100000
4, 2, -11.579909, 22.500000, 0.358549, impulse, 0, 0.100000
4, 3, -19.372019, 22.500000, 0.259253, impulse, 0, 0.100000
4, 4, -13.934160, 22.500000, 0.358490, impulse, 0, 0.100000
4, 5, -32.143850, 22.500000, 0.191958, impulse, 0, 0.100000
4, 6, -34.589087, 22.500000, 0.163198, impulse, 0, 0.100000
4, 7, -23.635372, 22.500000, 0.251682, impulse, 0, 0.100000
4, 8, -4.105154, 22.500000, 0.497520, impulse, 0, 0.100000
4, 9, 19.991917, 22.500000, 0.989512, impulse, 0, 0.100000
4, 10, 37.917909, 22.500000, 0.567295, impulse, 0, 0.100000
4, 11, 36.330557, 22.500000, 0.646467, impulse, 0, 0.100000
4, 12, 50.492465, 22.500000, 0.488473, impulse, 0, 0.100000
4, 13, 59.287394, 22.500000, 0.334652, impulse, 0, 0.100000
4, 14, 50.640635, 22.500000, 0.476444, impulse, 0, 0.100000
4, 15, 10.868613, 22.500000, 0.611822, impulse, 0, 0.100000
4, 16, -3.889334, 22.500000, 0.497286, impulse, 0, 0.100000
4, 17, -6.819424, 22.500000, 0.484646, impulse, 0, 0.100000
4, 18, 10.005331, 22.500000, 0.664666, impulse, 0, 0.100000
4, 19, 26.403576, 22.500000, 0.983060, impulse, 0, 0.100000
4, 20, 29.733778, 22.500000, 0.942153, impulse, 0, 0.100000
5, 1, -0.956738, 45.000000, 0.250824, impulse, 0, 0.100000
5, 2, -16.168264, 45.000000, 0.144725, impulse, 0, 0.100000
5, 3, -34.474343, 45.000000, 0.086042, impulse, 0, 0.100000
5, 4, -89.217993, 45.000000, 0.250074, impulse, 0, 0.100000
5, 5, -120.759573, 45.000000, 0.590321, impulse, 0, 0.100000
5, 6, -128.295009, 45.000000, 0.896000, impulse, 0, 0.100000
5, 7, -131.459456, 45.000000, 0.978370, impulse, 0, 0.100000
5, 8, -135.777432, 45.000000, 0.987355, impulse, 0, 0.100000
6, 1, -9.309184, 90.000000, 0.080572, impulse, 0, 0.100000
6, 2, -27.807444, 90.000000, 0.131949, impulse, 0, 0.100000
6, 3, -65.325879, 90.000000, 0.498176, impulse, 0, 0.100000
6, 4, -108.169560, 90.000000, 0.553545, impulse, 0, 0.100000
6, 5, -125.900007, 90.000000, 0.330522, impulse, 0, 0.100000
6, 6, -120.781796, 90.000000, 0.414615, impulse, 0, 0.100000
6, 7, -111.661489, 90.000000, 0.514003, impulse, 0, 0.100000
6, 8, -102.632309, 90.000000, 0.810054, impulse, 0, 0.100000
6, 9, -96.318147, 90.000000, 0.944849, impulse, 0, 0.100000
6, 10, -91.067776, 90.000000, 0.992969, impulse, 0, 0.100000
7, 1, -19.319845, 67.500000, 0.066671, impulse, 0, 0.100000
7, 2, -37.842537, 67.500000, 0.123004, impulse, 0, 0.100000
7, 3, -50.602121, 67.500000, 0.131524, impulse, 0, 0.100000
7, 4, -59.989118, 67.500000, 0.238779, impulse, 0, 0.100000
7, 5, -92.558094, 67.500000, 0.503967, impulse, 0, 0.100000
7, 6, -115.651925, 67.500000, 0.973456, impulse, 0, 0.100000
7, 7, -127.744203, 67.500000, 0.601493, impulse, 0, 0.100000
7, 8, -125.770184, 67.500000, 0.692793, impulse, 0, 0.100000
7, 9, -119.330944, 67.500000, 0.896654, impulse, 0, 0.100000
7, 10, -115.770523, 67.500000, 0.968932, impulse, 0, 0.100000
8, 1, 0.000000, 112.500000, 0.125437, impulse, 0, 0.100000
8, 2, -3.465734, 112.500000, 0.127159, impulse, 0, 0.100000
8, 3, -21.704317, 112.500000, 0.250007, impulse, 0, 0.100000
8, 4, -34.477871, 112.500000, 0.423476, impulse, 0, 0.100000
8, 5, -49.307284, 112.500000, 0.522244, impulse, 0, 0.100000
8, 6, -59.960056, 112.500000, 0.899479, impulse, 0, 0.100000
8, 7, -70.115554, 112.500000, 0.956892, impulse, 0, 0.100000
8, 8, -72.149057, 112.500000, 0.977344, impulse, 0, 0.100000
9, 1, 0.000000, 157.500000, 0.500991, impulse, 0, 0.100000
9, 2, -15.647410, 157.500000, 0.910283, impulse, 0, 0.100000
9, 3, -21.186975, 157.500000, 0.982493, impulse, 0, 0.100000
9, 4, -29.426852, 157.500000, 0.847496, impulse, 0, 0.100000
10, 1, -0.007450, 135.000000, 0.250373, impulse, 0, 0.100000
10, 2, -20.088246, 135.000000, 0.500325, impulse, 0, 0.100000
10, 3, -36.122409, 135.000000, 0.879240, impulse, 0, 0.100000
10, 4, -44.176382, 135.000000, 0.993696, impulse, 0, 0.100000
10, 5, -47.569147, 135.000000, 0.987253, impulse, 0, 0.100000
11, 1, 0.000000, 22.500000, 0.502663, impulse, 0, 0.100000
11, 2, -3.633552, 22.500000, 0.495790, impulse, 0, 0.100000
