trial_num, tr_num, angle, target_angle, score, impulse_response, visible_bool, noise_std
1, 1, -10.835362, 90.000000, 0.090257, impulse, 1, 0.100000
1, 2, -74.973819, 90.000000, 0.561564, impulse, 1, 0.100000
1, 3, -89.084600, 90.000000, 0.990401, impulse, 1, 0.100000
1, 4, -89.702492, 90.000000, 0.994603, impulse, 1, 0.100000
1, 5, -90.111600, 90.000000, 0.989997, impulse, 1, 0.100000
2, 1, -18.464205, 45.000000, 0.134253, impulse, 1, 0.100000
2, 2, -96.767685, 45.000000, 0.263007, impulse, 1, 0.100000
2, 3, -134.613198, 45.000000, 0.989824, impulse, 1, 0.100000
2, 4, -135.901979, 45.000000, 0.980723, impulse, 1, 0.100000
2, 5, -135.901979, 45.000000, 0.982151, impulse, 1, 0.100000
3, 1, 0.000000, 135.000000, 0.251264, impulse, 1, 0.100000
3, 2, 0.000000, 135.000000, 0.252142, impulse, 1, 0.100000
3, 3, -3.354810, 135.000000, 0.253744, impulse, 1, 0.100000
3, 4, -4.498367, 135.000000, 0.257034, impulse, 1, 0.100000
3, 5, -14.293790, 135.000000, 0.445374, impulse, 1, 0.100000
3, 6, -24.764262, 135.000000, 0.504169, impulse, 1, 0.100000
3, 7, -37.180529, 135.000000, 0.913252, impulse, 1, 0.100000
3, 8, -48.044904, 135.000000, 0.978551, impulse, 1, 0.100000
3, 9, -49.829332, 135.000000, 0.987205, impulse, 1, 0.100000
4, 1, -12.286136, 67.500000, 0.093572, impulse, 0, 0.100000
4, 2, -26.955330, 67.500000, 0.070102, impulse, 0, 0.100000
4, 3, -41.429119, 67.500000, 0.125490, impulse, 0, 0.100000
4, 4, -35.946756, 67.500000, 0.114077, impulse, 0, 0.100000
4, 5, -33.786630, 67.500000, 0.102139, impulse, 0, 0.100000
4, 6, -30.129116, 67.500000, 0.075575, impulse, 0, 0.100000
4, 7, -29.285004, 67.500000, 0.073073, impulse, 0, 0.100000
4, 8, -29.285004, 67.500000, 0.073114, impulse, 0, 0.100000
4, 9, -25.130146, 67.500000, 0.064452, impulse, 0, 0.100000
4, 10, -20.296136, 67.500000, 0.065464, impulse, 0, 0.100000
