trs_to_target, target_angle, impulse_response, visible_bool, noise_std
6, 90.000000, impulse, 1, 0.100000
6, 45.000000, impulse, 1, 0.100000
5, 135.000000, impulse, 1, 0.100000
25, 90.000000, impulse, 0, 0.100000
6, 135.000000, impulse, 0, 0.100000
14, 45.000000, impulse, 0, 0.100000
7, 22.500000, impulse, 0, 0.100000
7, 157.500000, impulse, 0, 0.100000
11, 112.500000, impulse, 0, 0.100000
14, 67.500000, impulse, 0, 0.100000
11, 90.000000, impulse, 0, 0.100000
9, 157.500000, impulse, 0, 0.100000
9, 45.000000, impulse, 0, 0.100000
6, 22.500000, impulse, 0, 0.100000
13, 67.500000, impulse, 0, 0.100000
7, 112.500000, impulse, 0, 0.100000
7, 135.000000, impulse, 0, 0.100000
6, 135.000000, blur, 1, 0.100000
6, 90.000000, blur, 1, 0.100000
7, 45.000000, blur, 1, 0.100000
22, 22.500000, blur, 0, 0.100000
39, 135.000000, blur, 0, 0.100000
14, 45.000000, blur, 0, 0.100000
17, 67.500000, blur, 0, 0.100000
13, 112.500000, blur, 0, 0.100000
53, 157.500000, blur, 0, 0.100000
13, 90.000000, blur, 0, 0.100000
10, 22.500000, blur, 0, 0.100000
14, 90.000000, blur, 0, 0.100000
12, 112.500000, blur, 0, 0.100000
11, 135.000000, blur, 0, 0.100000
40, 67.500000, blur, 0, 0.100000
13, 45.000000, blur, 0, 0.100000
11, 157.500000, blur, 0, 0.100000
6, 90.000000, hrf, 1, 0.100000
8, 45.000000, hrf, 1, 0.100000
8, 135.000000, hrf, 1, 0.100000
21, 22.500000, hrf, 0, 0.100000
14, 157.500000, hrf, 0, 0.100000
23, 45.000000, hrf, 0, 0.100000
27, 112.500000, hrf, 0, 0.100000
36, 67.500000, hrf, 0, 0.100000
26, 135.000000, hrf, 0, 0.100000
17, 90.000000, hrf, 0, 0.100000
8, 157.500000, hrf, 0, 0.100000
20, 22.500000, hrf, 0, 0.100000
18, 90.000000, hrf, 0, 0.100000
24, 67.500000, hrf, 0, 0.100000
31, 112.500000, hrf, 0, 0.100000
16, 135.000000, hrf, 0, 0.100000
15, 45.000000, hrf, 0, 0.100000
7, 135.000000, delay, 1, 0.100000
8, 45.000000, delay, 1, 0.100000
8, 90.000000, delay, 1, 0.100000
28, 112.500000, delay, 0, 0.100000
20, 22.500000, delay, 0, 0.100000
38, 67.500000, delay, 0, 0.100000
20, 157.500000, delay, 0, 0.100000
23, 90.000000, delay, 0, 0.100000
27, 135.000000, delay, 0, 0.100000
12, 45.000000, delay, 0, 0.100000
32, 45.000000, delay, 0, 0.100000
29, 67.500000, delay, 0, 0.100000
12, 112.500000, delay, 0, 0.100000
27, 135.000000, delay, 0, 0.100000
15, 157.500000, delay, 0, 0.100000
14, 90.000000, delay, 0, 0.100000
13, 22.500000, delay, 0, 0.100000
