trial_num, tr_num, angle, target_angle, score, impulse_response, visible_bool, noise_std
1, 1, -12.336076, 135.000000, 0.386941, impulse, 1, 0.100000
1, 2, -29.883834, 135.000000, 0.583943, impulse, 1, 0.100000
1, 3, -45.567567, 135.000000, 0.994346, impulse, 1, 0.100000
1, 4, -45.161267, 135.000000, 0.996021, impulse, 1, 0.100000
2, 1, -40.367922, 45.000000, 0.068484, impulse, 1, 0.100000
2, 2, -120.693072, 45.000000, 0.621969, impulse, 1, 0.100000
2, 3, -135.764523, 45.000000, 0.985285, impulse, 1, 0.100000
2, 4, -135.126182, 45.000000, 0.993708, impulse, 1, 0.100000
3, 1, 0.176444, 90.000000, 0.063425, impulse, 1, 0.100000
3, 2, 50.113696, 90.000000, 0.266930, impulse, 1, 0.100000
3, 3, 89.661042, 90.000000, 0.998280, impulse, 1, 0.100000
3, 4, 91.604349, 90.000000, 0.994469, impulse, 1, 0.100000
3, 5, 91.366708, 90.000000, 0.995075, impulse, 1, 0.100000
4, 1, 37.138044, 135.000000, 0.086031, impulse, 0, 0.100000
4, 2, 92.012318, 135.000000, 0.253649, impulse, 0, 0.100000
4, 3, 93.790153, 135.000000, 0.254036, impulse, 0, 0.100000
4, 4, 96.918885, 135.000000, 0.295661, impulse, 0, 0.100000
4, 5, 102.704876, 135.000000, 0.406774, impulse, 0, 0.100000
4, 6, 108.614031, 135.000000, 0.482587, impulse, 0, 0.100000
4, 7, 116.369793, 135.000000, 0.525853, impulse, 0, 0.100000
4, 8, 129.174872, 135.000000, 0.944234, impulse, 0, 0.100000
4, 9, 135.833373, 135.000000, 0.994280, impulse, 0, 0.100000
4, 10, 135.833373, 135.000000, 0.994132, impulse, 0, 0.100000
5, 1, -1.595173, 67.500000, 0.125412, impulse, 0, 0.100000
5, 2, -29.811149, 67.500000, 0.072514, impulse, 0, 0.100000
5, 3, -45.990486, 67.500000, 0.125356, impulse, 0, 0.100000
5, 4, -25.306482, 67.500000, 0.065656, impulse, 0, 0.100000
5, 5, -18.464442, 67.500000, 0.066407, impulse, 0, 0.100000
5, 6, -21.536388, 67.500000, 0.065038, impulse, 0, 0.100000
5, 7, -31.374807, 67.500000, 0.074794, impulse, 0, 0.100000
5, 8, -40.426461, 67.500000, 0.124003, impulse, 0, 0.100000
5, 9, -79.604068, 67.500000, 0.435524, impulse, 0, 0.100000
5, 10, -106.580050, 67.500000, 0.904038, impulse, 0, 0.100000
5, 11, -113.245690, 67.500000, 0.984184, impulse, 0, 0.100000
5, 12, -114.121681, 67.500000, 0.979655, impulse, 0, 0.100000
6, 1, 30.246773, 22.500000, 0.857340, impulse, 0, 0.100000
6, 2, 38.290851, 22.500000, 0.569909, impulse, 0, 0.100000
6, 3, 37.508119, 22.500000, 0.561466, impulse, 0, 0.100000
6, 4, 32.536509, 22.500000, 0.780360, impulse, 0, 0.100000
6, 5, 34.554712, 22.500000, 0.717671, impulse, 0, 0.100000
6, 6, 34.468440, 22.500000, 0.738360, impulse, 0, 0.100000
6, 7, 41.552953, 22.500000, 0.515699, impulse, 0, 0.100000
6, 8, 42.292319, 22.500000, 0.503763, impulse, 0, 0.100000
6, 9, 40.540764, 22.500000, 0.535789, impulse, 0, 0.100000
6, 10, 38.226943, 22.500000, 0.554478, impulse, 0, 0.100000
6, 11, 31.642377, 22.500000, 0.751100, impulse, 0, 0.100000
6, 12, 24.496384, 22.500000, 0.988101, impulse, 0, 0.100000
6, 13, 21.769020, 22.500000, 0.992733, impulse, 0, 0.100000
7, 1, 0.000000, 45.000000, 0.250289, impulse, 0, 0.100000
7, 2, -9.458421, 45.000000, 0.209784, impulse, 0, 0.100000
7, 3, -9.879716, 45.000000, 0.196126, impulse, 0, 0.100000
7, 4, 11.164857, 45.000000, 0.329360, impulse, 0, 0.100000
7, 5, 27.818457, 45.000000, 0.525216, impulse, 0, 0.100000
7, 6, 37.743442, 45.000000, 0.895520, impulse, 0, 0.100000
7, 7, 42.061407, 45.000000, 0.981266, impulse, 0, 0.100000
7, 8, 42.061407, 45.000000, 0.984160, impulse, 0, 0.100000
8, 1, 17.880146, 157.500000, 0.272971, impulse, 0, 0.100000
8, 2, 43.054966, 157.500000, 0.128021, impulse, 0, 0.100000
8, 3, 36.934952, 157.500000, 0.151123, impulse, 0, 0.100000
8, 4, 28.952518, 157.500000, 0.240424, impulse, 0, 0.100000
8, 5, -1.446798, 157.500000, 0.501199, impulse, 0, 0.100000
8, 6, -23.712930, 157.500000, 0.989622, impulse, 0, 0.100000
8, 7, -25.526894, 157.500000, 0.988483, impulse, 0, 0.100000
8, 8, -25.526894, 157.500000, 0.973539, impulse, 0, 0.100000
9, 1, 7.907018, 112.500000, 0.119763, impulse, 0, 0.100000
9, 2, 8.253532, 112.500000, 0.122865, impulse, 0, 0.100000
9, 3, -1.515650, 112.500000, 0.126525, impulse, 0, 0.100000
9, 4, -3.194836, 112.500000, 0.126951, impulse, 0, 0.100000
9, 5, -14.804569, 112.500000, 0.226358, impulse, 0, 0.100000
9, 6, -23.982595, 112.500000, 0.253622, impulse, 0, 0.100000
9, 7, -48.047860, 112.500000, 0.503344, impulse, 0, 0.100000
9, 8, -39.903652, 112.500000, 0.495705, impulse, 0, 0.100000
9, 9, -39.621095, 112.500000, 0.492239, impulse, 0, 0.100000
9, 10, -46.035322, 112.500000, 0.499992, impulse, 0, 0.100000
9, 11, -51.077062, 112.500000, 0.538722, impulse, 0, 0.100000
9, 12, -58.562052, 112.500000, 0.715577, impulse, 0, 0.100000
9, 13, -66.618202, 112.500000, 0.984686, impulse, 0, 0.100000
9, 14, -71.607142, 112.500000, 0.969464, impulse, 0, 0.100000
10, 1, -19.781889, 90.000000, 0.125802, impulse, 0, 0.100000
10, 2, -16.069671, 90.000000, 0.120290, impulse, 0, 0.100000
10, 3, 9.772456, 90.000000, 0.083914, impulse, 0, 0.100000
10, 4, -5.337577, 90.000000, 0.067627, impulse, 0, 0.100000
10, 5, -64.055609, 90.000000, 0.495781, impulse, 0, 0.100000
10, 6, -73.929304, 90.000000, 0.526583, impulse, 0, 0.100000
10, 7, -86.881566, 90.000000, 0.973286, impulse, 0, 0.100000
