trial_num, tr_num, angle, target_angle, score, impulse_response, visible_bool, noise_std
1, 1, 12.334710, 90.000000, 0.092004, impulse, 1, 0.100000
1, 2, 43.901917, 90.000000, 0.249010, impulse, 1, 0.100000
1, 3, 71.440195, 90.000000, 0.520223, impulse, 1, 0.100000
1, 4, 88.422117, 90.000000, 0.996820, impulse, 1, 0.100000
1, 5, 90.344638, 90.000000, 0.995876, impulse, 1, 0.100000
1, 6, 90.142428, 90.000000, 0.995392, impulse, 1, 0.100000
2, 1, 0.696568, 135.000000, 0.250926, impulse, 1, 0.100000
2, 2, -33.778288, 135.000000, 0.839697, impulse, 1, 0.100000
2, 3, -58.672734, 135.000000, 0.677937, impulse, 1, 0.100000
2, 4, -52.254051, 135.000000, 0.919591, impulse, 1, 0.100000
2, 5, -49.553990, 135.000000, 0.977388, impulse, 1, 0.100000
3, 1, 1.850536, 45.000000, 0.253846, impulse, 1, 0.100000
3, 2, 13.693339, 45.000000, 0.438354, impulse, 1, 0.100000
3, 3, 29.622652, 45.000000, 0.522390, impulse, 1, 0.100000
3, 4, 43.190189, 45.000000, 0.987142, impulse, 1, 0.100000
3, 5, 51.581399, 45.000000, 0.949466, impulse, 1, 0.100000
3, 6, 48.867928, 45.000000, 0.986045, impulse, 1, 0.100000
4, 1, 1.136993, 45.000000, 0.251643, impulse, 0, 0.100000
4, 2, 18.144972, 45.000000, 0.492640, impulse, 0, 0.100000
4, 3, 34.522418, 45.000000, 0.842347, impulse, 0, 0.100000
4, 4, 46.577656, 45.000000, 0.987034, impulse, 0, 0.100000
4, 5, 52.949601, 45.000000, 0.885211, impulse, 0, 0.100000
5, 1, -7.270667, 22.500000, 0.473070, impulse, 0, 0.100000
5, 2, -30.928979, 22.500000, 0.234222, impulse, 0, 0.100000
5, 3, -30.528127, 22.500000, 0.216068, impulse, 0, 0.100000
5, 4, -20.449795, 22.500000, 0.254730, impulse, 0, 0.100000
5, 5, -7.393753, 22.500000, 0.478922, impulse, 0, 0.100000
5, 6, 3.079622, 22.500000, 0.507330, impulse, 0, 0.100000
5, 7, 16.934589, 22.500000, 0.940669, impulse, 0, 0.100000
5, 8, 23.412630, 22.500000, 0.981037, impulse, 0, 0.100000
5, 9, 24.768920, 22.500000, 0.973567, impulse, 0, 0.100000
6, 1, 4.207549, 90.000000, 0.066152, impulse, 0, 0.100000
6, 2, 25.136191, 90.000000, 0.127323, impulse, 0, 0.100000
