trs_to_target, target_angle, impulse_response, visible_bool, noise_std
6, 45.000000, impulse, 1, 0.100000
5, 135.000000, impulse, 1, 0.100000
5, 90.000000, impulse, 1, 0.100000
11, 45.000000, impulse, 0, 0.100000
13, 67.500000, impulse, 0, 0.100000
16, 157.500000, impulse, 0, 0.100000
20, 135.000000, impulse, 0, 0.100000
13, 90.000000, impulse, 0, 0.100000
11, 112.500000, impulse, 0, 0.100000
4, 22.500000, impulse, 0, 0.100000
12, 45.000000, impulse, 0, 0.100000
9, 135.000000, impulse, 0, 0.100000
9, 112.500000, impulse, 0, 0.100000
10, 67.500000, impulse, 0, 0.100000
16, 157.500000, impulse, 0, 0.100000
12, 22.500000, impulse, 0, 0.100000
5, 90.000000, impulse, 0, 0.100000
6, 135.000000, hrf, 1, 0.100000
7, 90.000000, hrf, 1, 0.100000
7, 45.000000, hrf, 1, 0.100000
29, 22.500000, hrf, 0, 0.100000
28, 67.500000, hrf, 0, 0.100000
61, 90.000000, hrf, 0, 0.100000
7, 45.000000, hrf, 0, 0.100000
21, 135.000000, hrf, 0, 0.100000
8, 157.500000, hrf, 0, 0.100000
27, 112.500000, hrf, 0, 0.100000
41, 112.500000, hrf, 0, 0.100000
17, 22.500000, hrf, 0, 0.100000
9, 45.000000, hrf, 0, 0.100000
102, 67.500000, hrf, 0, 0.100000
43, 157.500000, hrf, 0, 0.100000
20, 90.000000, hrf, 0, 0.100000
25, 135.000000, hrf, 0, 0.100000
5, 135.000000, blur, 1, 0.100000
8, 45.000000, blur, 1, 0.100000
6, 90.000000, blur, 1, 0.100000
53, 90.000000, blur, 0, 0.100000
77, 45.000000, blur, 0, 0.100000
47, 112.500000, blur, 0, 0.100000
27, 135.000000, blur, 0, 0.100000
77, 67.500000, blur, 0, 0.100000
14, 157.500000, blur, 0, 0.100000
117, 22.500000, blur, 0, 0.100000
8, 157.500000, blur, 0, 0.100000
71, 45.000000, blur, 0, 0.100000
66, 112.500000, blur, 0, 0.100000
82, 67.500000, blur, 0, 0.100000
57, 90.000000, blur, 0, 0.100000
25, 135.000000, blur, 0, 0.100000
91, 22.500000, blur, 0, 0.100000
8, 90.000000, delay, 1, 0.100000
7, 135.000000, delay, 1, 0.100000
11, 45.000000, delay, 1, 0.100000
14, 157.500000, delay, 0, 0.100000
24, 135.000000, delay, 0, 0.100000
62, 22.500000, delay, 0, 0.100000
88, 112.500000, delay, 0, 0.100000
31, 45.000000, delay, 0, 0.100000
7, 67.500000, delay, 0, 0.100000
64, 90.000000, delay, 0, 0.100000
20, 67.500000, delay, 0, 0.100000
89, 112.500000, delay, 0, 0.100000
60, 45.000000, delay, 0, 0.100000
82, 135.000000, delay, 0, 0.100000
75, 157.500000, delay, 0, 0.100000
23, 22.500000, delay, 0, 0.100000
35, 90.000000, delay, 0, 0.100000
